pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	0.69666	-0.11159	-0.18265	0.22075	0.02167	-0.21769	-0.14493	0.38194	-0.47013	0.25393	-0.06943	-0.61812	-0.52155	0.31144	-0.05678	0.96737	-0.69771	0.00685	-0.08831	1.08349	0.14130	-0.13980	0.41888	-0.09009	0.44875	-0.07319	-1.42694	-0.08286	1.50209	0.00080	0.09188	-0.34113	(Agent $e0 $x0)
p200008	-0.33183	0.02210	-0.04467	-0.52038	-0.17006	0.23541	-0.11510	-0.32963	-0.66437	0.26641	0.74781	0.53850	-0.70603	0.58351	-0.08556	-0.43423	0.04638	0.39765	0.49694	0.74292	0.48100	0.17804	-0.00261	-0.18892	0.08828	0.69506	-0.17512	-1.29503	0.12790	0.27733	1.16536	-1.10814	(Theme $e0 $x0)
p200013	0.19297	0.71642	0.77167	0.28681	-0.01901	-0.22115	-0.44407	-0.19621	0.30991	-0.32546	-0.24516	-0.22040	-0.28007	0.12069	1.14140	-0.08298	0.28700	0.01175	1.71798	-0.29682	-0.00806	-0.10974	0.21103	0.11826	0.15335	0.03295	-0.29356	-0.11842	-0.22082	-0.71652	0.02922	0.00598	(Past $e0)
p200015	0.01609	-0.17597	0.09789	-0.34190	-0.11512	-0.37645	0.13124	-0.10172	-0.34584	0.06072	0.14064	-0.09255	-0.22256	0.63074	0.14076	-0.33425	0.05340	0.45506	-0.26984	1.13929	0.23759	-0.25769	0.00904	-0.04593	0.20597	-0.46908	-0.48043	-0.72983	0.32102	0.22043	0.60054	-0.40088	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	-0.04282	0.16021	-0.26512	-0.00735	-0.37609	-0.15875	-0.74234	0.80539	0.11779	-0.52435	0.19871	-0.22843	-0.07724	0.48934	0.24576	-0.05830	-0.02850	0.19429	-0.29018	-0.25896	-0.05838	0.25280	0.30486	1.65134	0.36386	0.54302	-0.25168	-0.30746	-0.13414	-0.08823	-0.13308	0.01763	(Patient $e0 $x0)
p200033	0.04037	-0.00949	0.75293	0.22426	-0.04724	-0.13018	0.01561	0.07913	0.07197	0.01709	-0.26335	-0.09848	0.21528	-0.01590	-0.03947	0.28428	-0.49877	-0.26639	0.38317	0.14591	0.30186	-0.24177	0.47129	-0.11284	0.68429	-0.22422	-0.57143	0.55946	0.16658	-0.12843	-0.01124	0.06849	(And (Agent $e0 $x0) (Past $e0))
p200039	-0.38773	0.04917	-0.19477	-0.30712	0.62896	0.71180	-0.34027	-0.17770	0.19249	-0.26717	-0.00520	0.35132	-0.32352	0.16730	-0.03604	-0.11498	0.12003	0.78272	-0.04147	0.20923	0.00132	0.09561	0.67953	-0.13642	-0.16326	-0.18269	-0.30758	0.53090	0.22327	-0.48870	-0.65038	0.01576	(Location $e0 $x0)
p200041	-0.16683	-0.19882	0.19972	-0.16457	-0.03054	-0.18150	0.11599	-0.22223	-0.25060	0.11920	0.70574	0.02210	0.02735	-0.22450	0.08135	-0.27548	0.03695	0.31002	0.88631	-0.11353	0.30683	-0.16601	0.23906	-0.02669	0.05549	0.36022	0.00929	-0.23275	-0.11336	0.21255	0.08838	-0.06177	(And (Past $e0) (Theme $e0 $x0))
p200049	0.12221	0.71646	0.39260	0.13784	-0.17008	0.10268	-0.49622	-0.00065	0.04541	-0.39325	-0.26085	-0.01625	-0.11803	0.15435	0.45209	-0.34062	0.26211	0.17010	-0.32453	-0.05294	0.06802	0.31178	-0.02226	1.07206	-0.04581	-0.09641	-0.43795	-0.16353	-0.08986	-0.26967	-0.03355	-0.25250	(And (Past $e0) (Patient $e0 $x0))
p200051	-0.08529	-0.07991	0.15380	0.47172	0.08202	0.70972	0.65872	0.12655	0.45508	-0.23737	0.01184	-0.05730	-0.11161	0.08616	-0.24181	-0.16469	-0.15279	-0.21633	-0.01215	0.08124	0.30717	0.12788	0.09192	0.14503	-0.26074	-0.05154	0.09348	-0.23767	0.04253	-0.57306	0.17178	-0.15868	(Cardinality $x0 <num>)
p200053	-0.08102	0.08214	-0.00801	-0.07336	-0.44793	0.37316	-0.12351	0.23802	0.04523	-0.43909	0.40202	-0.09792	0.12018	-0.02322	-0.18745	0.63446	-0.51975	0.03270	0.04912	0.11165	0.12226	0.44356	0.03424	0.21816	0.31980	0.05832	-0.38542	0.04653	0.24479	0.14258	-0.53554	0.21487	(And (Agent $e0 $x0) (Patient $e0 $x1))
