pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.84524	0.29315	0.06803	-0.16948	-0.04827	0.12194	0.22894	-0.05081	0.25512	0.07936	0.39424	-0.15807	0.61250	-0.24799	-0.53574	0.02772	0.04202	0.34645	0.17580	-0.38161	0.14538	-0.25457	-0.00692	-0.36349	0.05697	-0.06916	-0.04374	-0.48950	0.32533	-0.36601	0.27263	0.70840	(Agent $e0 $x0)
p200008	0.17724	0.67992	-0.29367	-0.06495	-0.01259	0.44934	-0.02253	0.21267	-0.07268	-0.14545	-0.29474	-0.15800	0.26254	0.85719	0.03330	-0.13094	0.02127	-0.02040	0.48291	-0.34342	-0.15489	-0.23108	0.09219	0.05070	0.38695	0.05511	-0.28228	0.23792	-0.01487	-0.72619	-0.48002	-0.20684	(Theme $e0 $x0)
p200013	0.37322	-0.79188	0.55261	0.04133	-0.16257	0.20192	-0.01033	-0.23135	0.21130	-0.19162	0.23108	-0.40769	0.42470	-0.13120	0.35313	0.08711	-0.66285	-0.01826	0.67530	-0.13365	-0.49759	0.02644	-0.05869	-0.42154	-0.10519	0.57401	0.01627	0.36516	-0.07158	-0.29067	0.00670	0.03405	(Past $e0)
p200015	-0.65442	0.57880	0.36111	0.18970	0.01807	0.22125	0.16073	0.21441	0.05098	-0.01475	-0.35359	-0.07246	0.13394	0.17235	0.11484	0.07245	0.20753	-0.07275	-0.14607	0.02583	-0.17794	-0.51950	-0.03392	-0.24968	0.11462	-0.08454	-0.17237	0.37708	0.09869	-0.21215	-0.17766	0.12876	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	0.12132	0.10657	0.06128	0.35036	0.47914	-0.12021	-0.52413	0.06478	0.63894	-0.39312	0.58239	0.08336	0.13756	-0.07968	-0.26475	0.08192	-0.20847	-0.20626	-0.23864	0.47469	-0.13620	-0.34013	0.34637	0.34371	-0.11943	0.35870	-0.20069	-0.24361	-0.40030	-0.31294	-0.08449	0.08871	(Patient $e0 $x0)
p200033	-0.24014	-0.43160	0.06977	-0.07987	0.00924	0.18343	0.07391	-0.00466	0.04562	0.16114	0.07110	-0.48778	-0.03926	0.15663	-0.15465	0.32552	-0.13638	0.16584	0.35628	0.01414	-0.24010	-0.16935	-0.11050	-0.21807	0.05034	-0.03530	-0.11320	-0.32357	0.20140	0.22309	0.44408	0.38373	(And (Agent $e0 $x0) (Past $e0))
p200039	0.20852	0.05870	-0.40560	0.33304	-0.03990	0.05115	-0.36493	0.02698	-0.10087	0.05646	0.19647	-0.29990	-0.05133	-0.27198	0.28147	0.10609	-0.12228	0.27548	-0.11468	-0.14340	0.31566	0.02791	-0.31538	-0.43865	-0.25001	-0.65209	-0.29115	-0.00188	-0.43040	-0.38580	0.41718	-0.06821	(Location $e0 $x0)
p200041	0.18683	0.12924	-0.03137	-0.17723	0.00744	0.23390	-0.30990	-0.02406	-0.02292	0.03383	0.11121	-0.23640	-0.03365	0.51058	0.03072	0.00522	-0.23458	-0.32110	0.31953	-0.32833	-0.17698	0.18576	-0.42608	0.11560	0.08983	0.27919	0.05597	0.27005	0.06779	-0.04349	0.01323	0.01863	(And (Past $e0) (Theme $e0 $x0))
p200049	0.09586	-0.26147	0.33787	0.22837	0.09980	-0.12082	-0.18373	-0.01531	0.19068	-0.32565	0.33659	0.08000	0.40652	-0.01210	0.23322	0.36793	-0.11144	-0.02042	-0.40175	0.37735	-0.15086	-0.25728	0.54885	-0.10513	-0.05829	0.00193	-0.35331	0.21836	-0.15172	-0.11895	-0.18076	-0.00581	(And (Past $e0) (Patient $e0 $x0))
p200051	0.02873	-0.05992	-0.05278	0.25444	0.03717	-0.10410	0.03111	-0.31539	-0.01987	-0.09981	0.21296	0.13817	-0.11777	0.38637	0.15635	-0.36123	0.09996	0.40643	0.09499	0.23663	-0.28718	0.20922	0.15295	-0.00920	0.07904	-0.47508	0.04755	0.13551	-0.01244	-0.15722	0.05131	0.38798	(Cardinality $x0 <num>)
p200053	-0.10774	-0.01365	-0.00716	-0.02685	0.46851	0.11900	-0.28198	-0.17081	-0.12351	-0.29557	-0.04434	-0.23549	0.26639	0.16259	-0.33861	0.03154	-0.28280	0.18255	-0.01215	0.22246	0.19134	0.10977	-0.02483	0.15438	0.03315	-0.09677	-0.05770	-0.49906	-0.12173	0.04421	0.15548	0.26444	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200070	0.03331	-0.03804	0.08686	-0.10773	-0.24153	0.11368	0.13735	-0.11892	0.08739	0.12740	-0.03988	-0.01095	-0.03266	-0.21762	-0.05659	-0.07088	-0.03341	0.09604	0.14715	0.04306	-0.07941	-0.03127	-0.05115	-0.08990	-0.09629	0.13170	-0.17039	-0.22831	0.07667	-0.05837	0.08751	0.02703	(Member $x0 person)
p200071	0.18567	0.10494	0.31228	-0.05117	0.03924	0.21325	-0.05042	0.01066	-0.17371	0.07620	0.04040	-0.13169	-0.24178	-0.26009	-0.32690	-0.00145	0.05017	0.05149	0.00190	-0.11268	0.14775	0.13546	0.28595	-0.07003	0.10837	-0.04240	0.16989	0.24500	-0.07116	-0.08986	-0.17136	0.12619	(Recipient $e0 $x0)
p200073	-0.22180	0.04518	0.08188	0.03934	-0.05531	0.11537	-0.15733	0.05132	0.03322	0.11535	0.11863	-0.03700	-0.13014	0.30026	-0.01292	0.15673	0.04671	-0.29381	0.01701	-0.05569	-0.14811	-0.04049	-0.23840	0.05518	-0.15247	0.06640	-0.03904	0.23142	0.09279	0.14660	0.20416	0.23080	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200076	0.18640	0.12622	0.09286	-0.37149	-0.31419	0.07894	0.08766	0.29274	0.11076	-0.03081	0.10371	-0.09617	-0.17796	0.09895	0.12719	-0.06914	-0.12608	0.06117	-0.17146	0.34704	0.47127	-0.02055	0.05414	-0.02456	-0.13431	-0.02847	-0.35176	0.16233	-0.08965	-0.05487	0.47212	-0.12058	(Experiencer $e0 $x0)
