pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	-0.12988	0.38204	-0.21266	0.65358	-0.47622	0.02866	0.32564	0.04486	-0.58909	0.43684	0.36998	1.93668	0.33748	0.22117	-0.71574	-1.40103	(Agent $e0 $x0)
p200008	-1.72308	0.75790	0.68688	-0.71644	-0.66582	-0.01900	0.51442	-0.33193	-0.37047	-0.48415	0.68706	0.68068	-0.03696	0.22743	0.70280	-0.64026	(Theme $e0 $x0)
p200013	0.01679	0.57476	-0.39109	0.77098	-0.70070	0.91493	-0.93200	0.16719	-1.10361	0.08686	0.21215	-0.11499	0.44058	0.13719	1.48008	-0.04985	(Past $e0)
p200015	-0.86822	0.19622	0.72166	-0.27689	-0.43452	-0.01177	0.22228	0.14939	-0.18769	-0.44070	-0.10250	0.98421	-0.21229	0.56784	-0.05085	-0.74955	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	-0.61238	-0.16415	0.01996	1.65147	0.17483	-0.17368	0.23269	0.18834	0.00724	0.10670	-0.70134	-0.00825	-0.12857	-0.15248	0.35687	0.11282	(Patient $e0 $x0)
p200033	0.24491	0.10083	-0.51512	0.51732	0.10368	0.64373	-0.18940	0.40929	-0.40227	0.14240	0.58718	0.21339	0.34164	0.46241	-0.34655	-0.42026	(And (Agent $e0 $x0) (Past $e0))
p200039	-0.05658	0.37126	-0.61393	-0.10539	-0.38505	-0.16383	0.05266	-0.33124	0.51891	0.92543	-0.64527	0.08941	0.95241	-0.06582	0.03243	-0.04249	(Location $e0 $x0)
p200041	-0.43388	0.17612	-0.26869	-0.49555	-0.05932	0.45024	-0.21457	0.29740	-0.64388	-0.23774	0.22592	-0.09808	0.44839	0.44496	0.51582	-0.17390	(And (Past $e0) (Theme $e0 $x0))
p200049	-0.38006	-0.22666	0.15330	1.10742	0.06903	-0.08227	-0.07887	0.12812	0.37623	-0.01307	-0.30381	-0.11222	-0.09645	0.02721	0.66226	0.18776	(And (Past $e0) (Patient $e0 $x0))
p200051	0.14791	0.43826	-0.09519	-0.10468	0.55427	-0.01671	0.78786	-0.34981	-0.38893	0.37160	-0.06674	-0.18602	-0.02850	0.08478	0.25878	0.17932	(Cardinality $x0 <num>)
p200053	-0.25764	-0.51194	-0.28917	0.68691	0.52969	-0.02971	0.40649	0.07417	0.27697	0.25805	0.16311	0.18718	0.12518	0.04431	-0.23411	-0.23543	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200070	0.26987	0.29501	-0.06001	0.17760	-0.29075	0.07095	-0.20025	0.04241	-0.21217	0.01990	0.12083	0.18039	-0.13554	-0.13156	-0.05916	-0.15266	(Member $x0 person)
p200071	-0.08547	0.04040	0.38916	0.01538	0.24687	-0.17589	-0.57226	-0.39898	-0.30745	0.36246	0.03946	0.25209	-0.16997	0.29229	-0.01625	0.56720	(Recipient $e0 $x0)
p200073	-0.11828	0.05319	-0.22541	-0.21311	0.08278	0.42157	-0.07471	0.47160	-0.42396	-0.10886	-0.15935	0.01106	0.15696	0.46336	-0.06234	-0.18411	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200076	0.10949	0.03636	-0.09915	-0.04326	-0.05325	-0.02817	-0.13994	0.06161	0.00988	0.14570	-0.11949	-0.07321	0.04200	-0.04818	0.06755	0.06498	(Experiencer $e0 $x0)
p200089	0.14049	0.18732	-0.04004	0.01825	-0.21875	-0.01388	-0.11283	0.10176	-0.18586	-0.04511	0.20867	0.13838	-0.04713	-0.06126	0.01824	-0.15176	(Possession $x0 $x1)
p200091	-0.13636	0.06093	0.47307	0.04829	0.20230	-0.12667	-0.51234	-0.46403	-0.24883	0.36141	0.11152	0.11467	-0.19355	0.26181	-0.01259	0.37574	(And (Recipient $e0 $x0) (Theme $e0 $x1))
p200099	-0.06930	0.03353	0.35907	0.03239	0.19551	-0.20922	-0.50765	-0.31886	-0.29592	0.36141	0.02137	0.28210	-0.15524	0.28060	-0.04164	0.53545	(And (Agent $e0 $x0) (Recipient $e0 $x1))
p200103	-0.02293	0.08780	0.00390	0.00352	-0.00487	-0.13621	0.08468	0.01631	0.05616	-0.04863	-0.08369	0.10991	0.05841	0.00177	-0.00716	0.00727	(Might $e0)
p200125	-0.10235	0.28995	-0.34349	0.04600	-0.27819	-0.11282	0.12390	-0.28830	0.53361	0.54793	-0.45825	0.13612	0.65444	0.00229	0.00045	-0.09137	(And (Agent $e0 $x0) (Location $e0 $x1))
p200136	-0.10182	0.04319	0.44868	0.06159	0.17064	-0.15945	-0.46932	-0.39149	-0.22873	0.36315	0.09855	0.13435	-0.18806	0.25032	-0.04552	0.34662	(And (Agent $e0 $x0) (Recipient $e0 $x1) (Theme $e0 $x2))
p200147	-0.16617	0.52307	-0.15952	-0.07701	0.60274	-0.12742	0.11663	-0.33773	-0.38656	0.16905	0.05177	-0.06209	-0.14659	0.06147	0.11476	-0.02069	(And (Cardinality $x0 <num>) (Theme $e0 $x0))
p200159	-0.11718	-0.55406	-0.11608	0.38703	0.48337	0.00923	0.15115	0.07249	0.56916	0.10240	0.36952	0.00196	0.06978	0.14779	-0.03749	-0.09309	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200170	-0.01734	0.04604	0.02968	-0.01147	-0.06808	-0.10038	0.07769	0.03280	0.07593	-0.06764	-0.07565	0.13539	0.05106	0.01633	0.00439	-0.01297	(And (Agent $e0 $x0) (Might $e0))
p200191	0.35691	0.43153	-0.02739	0.29381	-0.37360	0.15279	-0.15715	-0.05301	-0.30704	-0.00694	0.16818	0.18437	-0.08739	-0.15370	-0.19988	-0.14645	(And (Agent $e0 $x0) (Member $x0 person))
p200205	-0.03664	0.06069	-0.08064	-0.05311	0.14398	-0.07355	0.01360	-0.12394	-0.13868	0.01068	0.07231	0.07033	0.02738	-0.00778	0.05696	0.16982	(GroupOf $x0 child)
