pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.03761	-0.03521	-0.03602	0.03157	-0.11447	0.41591	0.16196	0.09109	-0.25594	-0.28160	-0.00392	0.29839	-0.22541	1.03645	-0.02883	0.91734	1.20312	0.99863	-0.13678	0.22639	-0.10992	-0.28907	-0.48150	-0.63085	-0.08341	0.82868	-0.05064	-0.77535	0.06918	0.26267	-0.08162	-0.28445	(Agent $e0 $x0)
p200008	0.95707	0.08193	0.35429	0.39982	-0.27561	-0.48471	0.59476	0.57905	-0.47842	0.23485	0.71497	-0.23154	0.54236	0.09255	0.67521	0.97698	0.13686	0.02100	-0.26684	-0.14618	0.24711	-0.41585	-0.54168	-0.60224	-0.58030	-0.36821	-0.07397	0.37676	0.36595	-0.61967	-0.23930	-0.41257	(Theme $e0 $x0)
p200013	-0.14516	0.08155	0.01121	0.85698	-0.02969	0.45745	0.07432	-0.23247	-0.47360	-0.25438	-0.32138	0.25297	-0.01749	0.03017	1.47872	0.05153	-0.15921	-0.37914	1.31596	0.40844	-0.15213	0.47065	-0.09792	0.05083	-0.02986	-0.39511	0.05540	-0.08397	-0.57845	-0.03002	-0.07508	0.05692	(Past $e0)
p200015	0.17095	0.01845	-0.03325	0.03013	0.09530	-0.01894	0.33796	0.42191	-0.43130	-0.06444	0.35559	-0.38669	0.46600	0.19509	-0.32350	1.07091	0.71542	0.19308	0.09226	0.03692	-0.19514	-0.33116	-0.42369	-0.12073	-0.14461	-0.54609	-0.12668	-0.02670	0.15844	-0.09146	-0.08840	-0.38101	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200022	-0.00667	0.52904	-0.20147	0.14985	-0.00060	0.00487	-0.00411	-0.05954	-0.09553	0.05189	-0.02904	0.03585	0.21966	0.34925	-0.24438	0.00369	-0.16024	0.01453	0.27958	-0.22642	-0.03983	-0.21370	-0.16371	0.13345	-0.38449	0.16045	1.86996	0.08605	-0.20187	0.12005	-0.35259	0.04549	(Patient $e0 $x0)
p200033	-0.16225	-0.10853	0.03917	-0.34450	-0.20833	0.44020	0.08180	0.07161	-0.17361	-0.29685	-0.16277	0.24000	0.19742	0.17811	0.29582	0.17854	-0.00676	0.66021	0.33159	0.58437	0.05432	0.47351	0.00955	-0.10648	0.13821	0.21266	-0.18986	-0.10045	-0.61075	0.41295	0.06018	0.03671	(And (Agent $e0 $x0) (Past $e0))
p200039	0.12484	-0.14610	0.64428	-0.16591	0.59405	-0.01555	-0.38119	0.57634	-0.27973	-0.03777	-0.04079	0.83715	0.13865	0.06888	0.13298	-0.35546	0.23985	0.11991	0.00722	-0.06053	-0.71267	-0.43876	0.65091	0.17689	-0.27805	0.01540	-0.09196	-0.66352	0.04829	0.06606	-0.22274	-0.27449	(Location $e0 $x0)
p200041	0.23759	-0.27550	0.24497	-0.14331	-0.14533	0.02834	0.35661	0.22768	0.08500	0.44561	0.24461	-0.27357	0.34029	0.00985	0.84177	0.01415	-0.22252	-0.16099	0.16850	-0.16758	-0.20018	0.44144	-0.21954	-0.02920	-0.03247	-0.04045	-0.05268	0.16743	-0.13893	-0.10352	-0.01012	-0.21510	(And (Past $e0) (Theme $e0 $x0))
p200049	-0.03436	0.07518	0.07532	0.56681	-0.10834	0.04761	-0.15339	0.12244	0.09691	-0.28465	-0.10463	0.17634	-0.06761	-0.13492	-0.30532	0.19382	0.11289	-0.21862	0.66506	0.46282	-0.13744	-0.33042	-0.14390	0.13600	0.05685	-0.42286	1.02742	0.10156	-0.25173	-0.22627	-0.04561	0.11588	(And (Past $e0) (Patient $e0 $x0))
p200051	0.35185	0.05976	-0.21197	-0.28313	0.23022	-0.02573	0.25477	-0.03762	0.11493	-0.17492	0.34294	0.81961	0.22575	-0.65631	-0.16995	-0.24201	0.09741	0.05812	0.18350	0.14075	-0.02544	0.04514	-0.11502	-0.55647	0.04126	-0.04722	0.11752	-0.10210	0.30318	-0.27651	-0.00370	0.30879	(Cardinality $x0 <num>)
p200053	-0.10246	0.21523	0.20759	-0.45614	-0.17086	-0.09099	-0.26521	0.19654	-0.03634	-0.18438	0.08104	0.38577	-0.16212	0.41810	0.13784	-0.07021	-0.22763	0.44640	-0.16820	-0.07704	-0.13694	0.27586	-0.27800	-0.28810	0.01009	0.14532	0.59230	0.26353	0.12686	0.32571	0.13261	-0.37534	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200070	-0.14978	-0.11799	-0.24677	0.06329	-0.05452	0.06674	0.03709	-0.14701	-0.10280	-0.10188	-0.05315	0.09518	-0.01669	0.08418	0.11163	0.07035	0.19047	0.04402	0.00278	0.08321	0.09342	0.13456	0.22674	-0.10861	-0.03337	0.16627	-0.02390	-0.12863	-0.17946	-0.03019	-0.10867	0.22557	(Member $x0 person)
p200071	-0.19005	-0.22865	-0.02363	0.28227	0.40762	0.28168	-0.03370	0.14606	-0.09466	0.13837	-0.03300	-0.17817	0.09561	0.22750	0.13373	-0.22117	0.08906	0.02788	-0.22191	-0.01080	-0.05181	-0.27964	-0.19225	-0.10346	0.19958	-0.14486	-0.04347	0.37454	0.26310	-0.10753	-0.13497	0.28492	(Recipient $e0 $x0)
p200073	0.07969	-0.32383	0.10973	-0.25678	-0.06414	0.22811	0.09324	0.18759	0.14298	0.17265	0.23537	-0.28442	0.31274	0.06184	-0.02629	0.05814	0.02103	-0.02040	0.28064	0.02045	-0.15197	0.28360	-0.12319	0.11528	0.06476	0.00729	-0.03429	-0.14659	-0.22322	0.12530	0.07292	-0.02146	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
