pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	0.28292	0.28627	0.63890	-0.16401	-0.07891	0.92385	-0.25581	-0.45485	-0.12693	0.95334	-0.47049	0.02809	-0.21608	0.82411	0.08690	0.35789	-0.09755	-0.21883	-0.47846	0.61730	0.72319	-0.71895	-0.27272	1.09111	-0.46156	0.06923	-0.17145	-0.43863	0.65390	0.53825	-1.49263	-0.04998	(Past $e0)
p200009	0.11662	0.14590	0.28854	0.11414	0.05037	-0.00337	0.51745	1.17582	1.50985	0.11890	-0.22410	0.00070	-0.08755	-0.03195	0.03970	-0.16575	-0.27425	0.08588	-0.09721	0.18682	-0.40908	-0.96035	-0.24775	-0.00178	0.06228	0.16954	1.11194	0.33514	-0.33477	0.32581	-0.39637	-0.09182	(Agent $e0 $x0)
p200011	0.04495	1.38076	-0.25692	-0.17448	0.22128	-0.06533	-0.21063	-0.40808	0.04798	0.05586	-0.19021	-0.30727	0.27074	-0.19952	-0.03159	-0.04217	0.01293	-0.01215	0.00289	0.18285	0.47463	0.30119	-0.19697	-0.27486	-0.04004	0.23422	-0.00578	1.66059	-0.07129	0.14679	-0.18218	0.00115	(Patient $e0 $x0)
p200012	-0.03384	-0.06134	-0.05260	0.12302	-0.14507	-0.04588	0.44982	-0.02276	-0.03564	0.06291	-0.65013	0.17469	0.56296	0.10145	2.14902	-0.11154	-0.16392	0.01631	0.11068	-0.17640	-0.00953	0.38354	0.30213	-0.08198	0.08341	0.03576	0.08603	-0.16325	-0.11972	-0.21725	-0.57789	-0.02607	(Theme $e0 $x0)
p200025	0.16163	0.11617	1.29525	-0.09259	0.37911	0.39439	0.10647	-0.56773	1.00922	-0.48718	0.14177	0.42079	-0.31699	-0.21780	-0.25652	-0.00133	-0.12556	-0.23504	0.08264	-0.19413	-0.12925	-0.03267	-0.20807	0.05020	0.19650	-0.09590	-0.10007	-0.10245	-0.18680	0.26685	-0.13131	-0.04225	(And (Agent $e0 $x0) (Past $e0))
p200030	0.11285	0.92505	-0.14055	-0.03552	0.15296	-0.17715	0.23729	-0.32419	0.28076	-0.17148	-0.22171	-0.21230	0.12807	0.03390	-0.05891	-0.27482	-0.13694	0.19463	0.10021	-0.13955	1.49510	-0.12614	0.12106	-0.32769	-0.11570	-0.08144	0.01477	-0.20750	0.05572	-0.25313	-0.17368	0.00938	(And (Past $e0) (Patient $e0 $x0))
p200036	-0.28571	0.04280	-0.05770	0.09318	0.16840	1.38804	-0.44163	-0.15895	-0.19841	-0.07018	0.46463	0.09867	-0.34285	0.18732	0.68993	-0.11208	0.25680	-0.12447	0.05306	-0.35027	-0.09978	0.47935	-0.13555	-0.42897	0.11580	-0.25224	0.53787	0.07919	0.33221	-0.09023	-0.29746	-0.00385	(And (Past $e0) (Theme $e0 $x0))
p200038	0.01312	-0.06362	0.00005	0.01502	0.04084	0.00506	-0.00541	0.03122	-0.00034	-0.09415	0.03175	-0.04999	0.03357	-0.00147	0.02385	0.06799	0.02421	-0.00842	0.00690	0.08035	0.05157	-0.01021	-0.11031	-0.07491	-0.01229	0.06072	0.01953	-0.02891	0.00770	0.08910	-0.08894	2.20946	(Experiencer $e0 $x0)
p200040	0.18793	0.09858	0.10279	-0.16786	0.28324	-0.16970	-0.73495	0.14270	-0.00501	-0.35907	-0.48241	-0.10090	0.07679	-0.16782	0.14414	1.15407	0.45423	1.32038	0.02856	-0.10592	-0.12783	0.23186	-0.16686	0.36094	-0.05213	-0.58829	0.10791	0.10712	0.03348	0.02713	-0.20490	0.00974	(Ongoing $e0)
p200048	-0.19658	0.63478	-0.03506	0.19841	-0.08516	-0.12571	-0.17433	0.33481	0.63496	-0.18572	0.45289	-0.08299	0.06781	0.01148	0.62041	0.24732	-0.09827	-0.02669	-0.11543	-0.14233	-0.41030	-0.50274	0.19039	0.16559	0.75981	0.44888	-0.83814	-0.03390	-0.21007	-0.15746	-0.08702	0.01470	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.28230	0.11367	-0.05464	-0.26097	-0.63770	0.06468	1.06222	-0.20161	-0.08021	0.11090	0.10079	0.38510	-0.28600	0.08318	-0.02209	0.02201	1.84870	0.03988	-0.12848	-0.00648	-0.10334	-0.22668	-0.42412	-0.28594	0.09352	0.25927	-0.30984	0.02326	-0.32652	0.27526	-0.07793	0.00619	(Member $x0 thing)
p200051	-0.10897	-0.10024	0.01523	0.23402	-0.46790	0.12372	-0.26408	-0.09609	-0.07951	-0.04274	0.20055	0.05788	-0.09487	-0.29128	0.11440	-0.03276	0.02830	0.19702	1.64205	0.75119	0.15772	-0.25279	-0.03490	0.19847	-0.23490	0.30494	0.04784	0.07394	-0.35575	0.08167	-0.02409	-0.00438	(Location $e0 $x0)
p200075	-0.03147	-0.53415	0.68876	0.08654	-0.17993	-0.18999	0.44431	-0.17630	-0.09639	-0.18506	-0.09361	0.11697	-0.10165	0.01716	0.20178	-0.01817	-0.23113	0.04614	-0.13521	-0.01450	0.41430	-0.37359	0.16365	-0.11206	-0.27141	-0.28711	0.21322	0.86190	0.31218	-0.27373	0.26726	0.05320	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	0.92130	-0.05329	-0.12228	-0.52333	0.02069	-0.05025	-0.32431	0.11205	-0.04205	-0.30347	0.01021	0.11470	-0.12544	-0.08841	0.06436	-0.10834	0.06203	-0.06610	0.11575	-0.31214	-0.06187	0.28122	0.20617	0.41800	-0.11069	0.83940	0.23736	0.13399	0.35658	-0.25108	-0.09951	0.00595	(Theme $e0 $e1)
p200083	0.21554	-0.05225	-0.18988	-0.29131	0.35710	-0.31080	-0.01604	0.06146	0.30101	-0.30828	-0.90261	0.14359	-0.28485	1.81285	-0.07401	0.34636	-0.06660	-0.41000	0.75508	-0.33484	-0.06470	-0.07192	-0.21334	-0.30341	0.39481	-0.11031	-0.24583	0.14547	0.00424	0.06232	0.80483	-0.02190	(LocatedIn $x0 $x1)
p200093	-0.39896	-0.03050	-0.24202	0.53968	-0.12064	0.12585	0.32107	-0.16581	0.13537	0.11879	-0.33573	0.10992	-0.13556	0.05884	-0.22570	0.84500	-0.08768	-0.42543	-0.05161	0.02917	0.13026	-0.16276	0.82388	0.19752	0.42176	0.43041	-0.09518	0.04387	-0.36253	-0.42125	0.03265	-0.03368	(Cardinality $x0 <num>)
p200100	-0.48041	-0.01407	0.22078	0.20821	-0.03701	0.29330	-0.18282	0.02866	-0.05005	0.07883	-0.05315	-0.23550	0.19367	-0.41787	-0.07150	-0.25230	0.11814	0.06391	0.86613	0.43206	0.00119	-0.07601	0.05183	0.53581	-0.12072	0.19710	-0.06343	0.06349	-0.00223	-0.06994	0.18060	-0.09202	(And (Location $e0 $x0) (Past $e0))
p200105	-0.15357	0.48962	0.18219	0.04355	0.03755	0.46245	-0.53323	-0.01120	0.30468	-0.38686	0.77253	0.16171	-0.16826	-0.03604	0.08868	0.10365	0.13248	-0.07677	0.04098	-0.27043	-0.28617	-0.04229	-0.07566	-0.14873	0.44224	0.12561	-0.36068	-0.03001	0.10577	-0.06388	-0.11620	0.02642	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200112	0.03744	-0.08524	-0.26998	-0.11884	-0.03161	-0.11665	-0.38080	0.01022	0.26692	-0.15104	-0.04898	0.30586	-0.25879	0.05790	0.01712	0.56117	0.14553	0.58925	0.00211	-0.06112	0.11560	-0.34180	0.04527	-0.06825	0.03989	-0.47656	0.46063	-0.00981	-0.00346	-0.09928	-0.30195	-0.01513	(And (Agent $e0 $x0) (Ongoing $e0))
p200114	0.55454	0.04830	-0.03957	0.72460	0.16614	-0.05105	0.06001	-0.05441	-0.18531	0.22084	-0.20379	0.39335	-0.32050	-0.14369	0.05105	-0.30219	-0.16669	0.30448	0.05669	-0.08249	-0.03414	-0.27198	0.00554	-0.09089	0.07433	-0.23203	-0.03392	0.01988	0.03160	-0.08770	0.05749	0.07362	(Member $x0 person)
p200128	-0.16739	-0.01128	0.08440	-0.27593	0.86891	-0.09527	0.02146	0.13181	-0.27019	0.05673	-0.43748	0.81481	-0.45595	-0.09805	0.07318	0.05856	-0.09958	-0.04576	-0.10857	0.39781	-0.02827	-0.09396	0.16813	-0.15932	0.05065	0.33743	-0.09398	0.09041	-0.33522	-0.16895	-0.04689	0.00636	(Possession $x0 $x1)
p200133	0.10478	0.08245	-0.03233	-0.14196	-0.00683	-0.07027	-0.15136	-0.11260	-0.07779	0.01371	-0.22544	-0.18930	0.08189	-0.06097	0.02443	-0.06170	0.07551	-0.07917	0.15466	-0.23277	-0.16688	-0.12668	0.97225	-0.21278	0.06349	-0.19438	0.08325	0.03677	0.15417	1.06033	-0.15694	0.01579	(Goal $e0 $x0)
p200137	0.00292	-0.34469	0.66602	0.07838	0.03304	-0.14324	0.49933	-0.25959	0.06687	-0.17509	-0.20918	-0.08658	0.02495	0.04347	0.07032	-0.22131	-0.15017	0.14512	0.03509	-0.21313	0.43601	-0.08427	0.27706	-0.00774	-0.20174	-0.31895	0.07370	0.31280	0.23432	-0.42655	0.17411	0.06921	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200160	0.60871	-0.11243	-0.07092	-0.37525	0.07523	-0.10346	-0.26218	-0.00618	0.02030	-0.21865	0.05547	0.08723	-0.05235	-0.07694	0.05615	-0.01225	0.10489	-0.18307	-0.05994	-0.20982	0.04623	0.11794	0.18115	0.50808	-0.02649	0.54992	0.14018	0.04068	0.30417	-0.20663	0.00747	-0.04595	(And (Past $e0) (Theme $e0 $e1))
p200163	-0.22229	-0.19808	0.18189	0.13490	0.17528	-0.00711	-0.12248	0.35027	-0.11773	0.03031	-0.04996	-0.12430	0.18770	0.02009	0.08467	0.11479	0.04118	-0.06472	-0.13690	-0.00790	0.16284	-0.20193	-0.13761	0.22231	-0.36674	0.24934	-0.25552	0.02409	0.03290	0.13121	0.12167	0.70655	(And (Experiencer $e0 $x0) (Past $e0))
p200164	-0.16610	-0.09359	-0.09068	0.20231	0.00244	-0.04258	-0.13291	0.06362	0.10916	0.11812	-0.03737	-0.22432	0.15264	0.26661	0.00424	-0.10394	-0.00958	-0.01179	0.07339	-0.05920	0.05992	-0.02449	-0.08030	-0.02325	0.07591	-0.08405	0.23736	0.04204	0.02838	0.02824	0.15380	-0.04516	(PartOf $x0 $x1)
p200178	-0.11125	-0.08540	-0.16856	0.15177	-0.20535	0.08035	0.08533	-0.20947	0.08938	-0.13888	-0.12376	0.54847	0.71699	0.07768	-0.15821	0.17323	-0.01813	-0.17392	0.09185	-0.23143	0.07278	0.13802	-0.07820	-0.04168	0.00340	0.02011	0.16588	-0.02707	0.09248	0.00218	-0.31466	0.00281	(Member $e0 have)
p200192	0.11105	0.01089	0.01625	-0.07191	-0.13208	-0.05151	0.01426	-0.24576	-0.07115	0.09205	-0.27327	-0.12132	0.04500	-0.06149	-0.02499	-0.02747	0.00788	0.05855	-0.13125	0.56854	-0.14860	-0.04140	-0.03562	-0.14214	0.79163	-0.16229	0.26156	0.01891	0.37539	-0.12302	0.06220	0.09182	(Result $e0 $e1)
p200196	-0.12427	-0.08632	-0.16375	0.15992	-0.19200	0.07573	0.07798	-0.20289	0.08870	-0.13093	-0.12927	0.52931	0.70157	0.07943	-0.14687	0.17107	-0.03063	-0.17132	0.09273	-0.22273	0.07734	0.14371	-0.06988	-0.04386	0.00297	0.00436	0.17293	-0.02523	0.08176	0.00338	-0.30580	0.00644	(And (Member $e0 have) (Theme $e0 $x0))
p200209	0.07941	0.04570	0.01095	-0.11455	-0.00353	-0.06933	-0.13538	-0.12775	-0.07097	0.02499	-0.20122	-0.15355	0.05694	-0.02631	0.01587	-0.02296	0.05936	-0.06420	0.13463	-0.19796	-0.11355	-0.10035	0.84442	-0.16381	0.06809	-0.22052	0.06565	-0.00519	0.12265	0.88612	-0.15899	0.00746	(And (Goal $e0 $x0) (Past $e0))
p200210	-0.15946	-0.07768	0.20979	0.12718	0.25017	0.07744	-0.30493	0.08775	-0.07470	-0.30908	-0.26110	-0.15180	0.15939	-0.14559	0.02087	0.35496	0.26578	0.53284	-0.07712	0.00895	0.07037	-0.21941	-0.18180	0.05679	-0.09067	0.10754	-0.21307	-0.08989	0.38406	0.13713	0.17647	-0.13870	(And (Ongoing $e0) (Past $e0))
p200214	0.23297	0.20940	0.14494	-0.29374	-0.23267	-0.07914	-0.08601	0.04734	-0.17361	0.12397	0.07328	0.08538	0.02081	-0.04520	0.13160	0.46392	-0.13776	0.14185	-0.08673	0.14211	-0.25359	0.44696	-0.24541	0.09685	-0.02473	-0.17751	-0.09820	0.41242	-0.30671	0.21649	0.16615	0.01407	(And (Ongoing $e0) (Patient $e0 $x0))
p200233	-0.12774	-0.03392	-0.08948	0.00143	-0.13547	0.00834	-0.01009	-0.09780	0.27655	0.38601	0.05132	0.10554	-0.05268	-0.07506	-0.07322	-0.21499	-0.02539	0.24678	-0.00739	-0.20507	0.06988	0.21415	0.05452	0.09188	-0.01342	0.18000	-0.07680	-0.02477	-0.06729	-0.00092	0.14425	0.12198	(GroupOf $x0 person)
