pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200004	-0.06867	-0.07153	0.29378	1.22087	0.04310	-0.19726	0.07441	-0.16560	-0.21740	2.22752	-0.17214	0.11418	-0.08020	0.09373	0.17693	-0.02343	(Past $e0)
p200009	-0.02917	-0.13566	0.79432	0.35484	-0.14558	1.23216	-0.16350	-1.07869	-0.97772	-0.25624	-0.24283	0.34691	0.11933	0.03968	-0.22474	1.72429	(Agent $e0 $x0)
p200011	-0.09448	0.15285	0.05529	-0.42546	1.93510	0.23844	0.02601	-0.52530	-0.17270	0.08500	-0.02182	0.15547	0.23302	-0.43601	-1.29414	-0.20392	(Patient $e0 $x0)
p200012	1.71672	0.53743	-0.14227	-0.32700	-0.14956	0.17691	-0.22203	-0.55693	-0.29536	0.11609	-0.04254	-0.14380	0.13483	0.88269	-0.75653	-0.01168	(Theme $e0 $x0)
p200025	-0.09355	0.05080	0.14582	1.43239	-0.22477	0.65848	0.05368	0.16301	-0.49455	-0.20929	0.00971	0.43974	0.81746	-0.63702	-0.18887	-0.29603	(And (Agent $e0 $x0) (Past $e0))
p200030	-0.28454	-0.15277	0.16054	-0.28260	1.16503	0.30730	-0.10064	-0.18029	-0.36098	0.49454	-0.13088	-0.25879	0.28879	-0.13669	-0.97419	-0.17446	(And (Past $e0) (Patient $e0 $x0))
p200036	1.14148	0.14608	-0.29443	0.33900	-0.07741	0.05436	-0.11818	-0.08045	-0.13099	0.28412	-0.07958	0.13641	-0.07514	0.14903	0.24011	-0.50817	(And (Past $e0) (Theme $e0 $x0))
p200038	-0.24357	-0.00613	-0.05465	-0.34286	-0.21527	0.62011	2.04137	-0.14092	-0.40137	0.09750	-0.22293	-0.00289	-0.08960	0.33983	-0.07181	-0.34019	(Experiencer $e0 $x0)
p200040	-0.04638	-0.26679	0.24633	-0.05057	0.19992	-0.29901	0.05189	-0.37880	0.20851	-0.13039	0.10755	1.70088	-0.54122	0.52476	-0.12056	-0.11062	(Ongoing $e0)
p200048	0.83115	-0.25990	-0.24711	-0.19134	0.01547	0.63946	0.06624	0.06056	-0.56163	-0.13762	-0.13455	0.23039	0.13551	-0.08677	-0.08945	0.16621	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.11188	0.42025	-0.35306	-0.23126	0.17456	0.18369	0.12122	0.28244	-0.39821	-0.05285	0.12958	-0.05390	0.15297	0.03204	0.16985	0.10467	(Member $x0 thing)
p200051	-0.05007	-0.19195	0.23508	-0.23940	-0.14568	0.36216	-0.06767	-0.17689	-0.18586	0.15447	1.71907	-0.05586	-0.17343	0.24354	0.07778	-0.13186	(Location $e0 $x0)
p200075	0.05488	-0.28751	0.70661	0.34089	0.37174	0.05255	0.11542	-0.05752	0.00362	-0.34665	0.01561	-0.24624	0.16623	-0.04247	-0.58949	-0.21035	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	-0.19867	0.77589	-0.73674	0.40422	0.31675	-0.09523	0.22242	0.04222	-0.21179	-0.12969	0.38290	0.00195	-0.35610	0.30513	-0.07275	0.51638	(Theme $e0 $e1)
p200083	-0.01360	0.04279	-0.08592	-0.02147	0.00620	0.05654	-0.02190	0.07829	0.01361	-0.03092	0.12510	0.00128	0.01651	-0.07513	0.03271	-0.03791	(LocatedIn $x0 $x1)
p200093	-0.00389	-0.15954	-0.01519	-0.07004	-0.03505	0.00691	0.01305	-0.05353	0.02892	0.01326	0.08268	-0.05733	0.34200	0.10594	-0.15644	0.12052	(Cardinality $x0 <num>)
p200100	-0.18445	-0.24224	0.08734	-0.13129	-0.20294	0.33783	-0.11035	-0.08140	-0.20567	0.26870	1.02164	0.02372	0.03055	0.12214	0.04811	-0.21635	(And (Location $e0 $x0) (Past $e0))
p200105	0.50408	-0.15967	-0.36759	0.32132	0.05456	0.33174	0.06461	0.12547	-0.26480	-0.13787	-0.04320	0.31177	0.21571	-0.20844	0.36612	-0.34936	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200112	0.06169	-0.33291	0.30117	0.04275	0.08783	-0.26436	-0.05295	-0.38711	0.12043	-0.10054	-0.07737	0.55303	-0.30743	0.26825	0.02909	0.33823	(And (Agent $e0 $x0) (Ongoing $e0))
p200114	0.01167	0.81227	0.64825	-0.13793	-0.06675	0.06282	-0.01964	-0.26994	0.00786	-0.03356	-0.07048	-0.09961	-0.06008	-0.15019	0.13942	-0.17145	(Member $x0 person)
p200128	0.06016	0.35598	0.21271	-0.16449	-0.08271	0.06335	0.01738	0.09080	-0.03740	0.05561	-0.06890	0.03648	0.04491	-0.11201	0.05389	0.04521	(Possession $x0 $x1)
p200133	-0.09363	-0.12204	-0.21598	0.11850	-0.03323	0.03608	-0.06082	0.02307	-0.01360	0.11601	-0.01552	-0.00552	0.00934	-0.00066	-0.01661	0.19515	(Goal $e0 $x0)
p200137	-0.17075	-0.13286	0.31418	0.36701	0.19547	0.29712	0.01193	0.26338	-0.27664	-0.22704	0.03920	-0.16827	0.20907	0.09371	-0.67721	-0.43896	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200160	-0.11285	0.53539	-0.52896	0.44717	0.23502	-0.21711	0.21376	0.06331	-0.04649	-0.07454	0.24107	-0.02496	-0.22388	0.15038	-0.00598	0.42160	(And (Past $e0) (Theme $e0 $e1))
p200163	-0.07004	-0.16434	0.27336	-0.15008	-0.16600	-0.05120	0.76512	-0.06986	-0.44448	0.18861	-0.11492	-0.00806	-0.01655	0.27756	0.05201	-0.07056	(And (Experiencer $e0 $x0) (Past $e0))
p200164	0.01426	-0.10497	0.04733	-0.05982	-0.02154	0.05502	-0.04732	-0.05246	0.04442	0.00723	0.00067	-0.00289	-0.00291	0.02060	0.01937	0.05036	(PartOf $x0 $x1)
p200178	-0.08866	0.12718	-0.00166	0.04105	-0.12099	-0.26960	-0.03342	-0.15074	0.38308	-0.00800	-0.03481	-0.06445	0.67956	0.51778	-0.53070	0.03179	(Member $e0 have)
p200192	-0.12763	0.09332	-0.22633	-0.09144	0.00998	0.55322	0.07737	-0.17831	0.83592	0.10388	-0.05576	0.09080	-0.31976	0.01513	-0.01549	-0.06764	(Result $e0 $e1)
p200196	-0.07905	0.11478	0.00760	0.03442	-0.12121	-0.26313	-0.03125	-0.14286	0.37553	-0.00736	-0.03585	-0.05954	0.67114	0.50318	-0.54087	0.02732	(And (Member $e0 have) (Theme $e0 $x0))
p200209	-0.08074	-0.12285	-0.16770	0.13080	-0.04898	0.00775	-0.05683	0.03851	0.01784	0.12235	-0.01386	0.01586	0.02567	-0.01390	-0.00143	0.12977	(And (Goal $e0 $x0) (Past $e0))
