pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-1.07474	-0.57684	-0.11049	1.13879	0.00663	0.09785	0.70396	0.27230	-0.03920	0.10269	-0.04675	-1.07453	0.07376	-0.15447	0.05578	0.08263	-0.16130	-0.34535	1.48795	-0.09542	-0.18087	0.41490	0.46300	0.15935	-0.05569	-0.42472	0.40932	0.29132	-0.38284	0.05561	0.46799	1.00309	(Past $e0)
p200009	0.71272	-0.98619	-0.03158	0.03045	0.12591	1.51309	0.31300	0.24607	-0.03213	0.25321	-0.00502	-0.35592	0.14597	-0.60177	1.04164	0.93671	-0.24010	-0.01873	-0.41872	-0.03759	-0.01784	0.10778	0.38186	0.06948	-0.08029	0.16377	-0.15658	-0.46023	0.17125	-0.23032	0.05050	0.06094	(Agent $e0 $x0)
p200011	-0.20440	-0.29382	1.99551	0.26280	0.01979	-0.07596	-0.24393	0.16535	0.14769	0.26219	0.08539	0.60692	0.11054	-0.07054	-0.04705	0.06005	-0.02799	-0.46642	0.05671	-0.02371	-0.30357	-0.08350	0.05844	0.50836	0.19091	0.39189	-0.34506	-0.38285	0.27477	-0.15648	0.43657	-0.29646	(Patient $e0 $x0)
p200012	-0.08309	0.04165	0.05355	0.04086	-0.06423	0.21167	0.17387	-0.46896	0.01263	0.24427	2.22591	-0.21140	-0.01267	0.04501	-0.03279	0.08790	0.09789	-0.12183	-0.16805	-0.02996	0.24572	-0.05608	0.12280	-0.14288	-0.12894	-0.01235	-0.00240	0.16797	0.00651	-0.15121	0.04025	-0.13356	(Theme $e0 $x0)
p200025	-0.44963	-0.20158	0.02416	-0.31720	-0.03405	0.50115	-0.06276	1.44233	0.14829	0.25022	-0.27265	-0.25191	0.02343	0.19597	0.43754	-0.41986	0.11842	0.44283	-0.16731	-0.03498	0.26091	-0.19635	-0.15558	0.28471	-0.16677	-0.25565	-0.09691	-0.09427	0.18185	0.11874	-0.43164	0.73725	(And (Agent $e0 $x0) (Past $e0))
p200030	-0.33530	-0.49132	0.92140	-0.74963	-0.11444	0.13530	0.17235	-0.08778	-0.28734	0.53297	-0.06522	-0.41541	-0.10573	0.56843	-0.24574	-0.05804	0.28243	0.23801	0.98029	-0.06100	-0.12258	0.14787	0.18176	-0.12029	0.20868	0.22990	-0.13743	-0.35783	0.13527	-0.11668	-0.14358	-0.23397	(And (Past $e0) (Patient $e0 $x0))
p200036	0.22585	-0.08158	0.19762	0.04309	-0.06369	-0.33997	-0.08170	0.09146	-0.24430	-0.10199	0.97310	0.00913	-0.45384	0.28387	-0.05787	-0.03327	-0.40341	0.11807	-0.16641	0.02441	-0.31451	0.30613	-0.43368	0.11586	0.20574	0.15926	-0.12952	0.07278	0.13699	0.43553	-0.10579	1.10852	(And (Past $e0) (Theme $e0 $x0))
p200038	-0.10206	-0.06417	-0.01502	-0.00355	0.00225	0.01230	0.00189	0.01768	-0.00040	-0.03254	0.01735	0.04466	-0.00153	0.09393	0.00971	0.04142	-0.02898	0.00987	0.03281	2.21341	0.04662	0.01787	-0.00525	0.05570	0.00119	-0.03593	0.00196	0.07730	0.03130	-0.06063	-0.00361	-0.04670	(Experiencer $e0 $x0)
p200040	-0.01239	0.19806	0.15607	0.10356	1.81374	0.02404	-0.10431	-0.06876	0.02544	-0.23435	0.02779	-0.04126	0.30091	0.51597	0.00431	0.06463	0.06867	-0.09393	-0.11219	0.01421	-0.07465	-0.03937	-0.04894	0.17769	0.09667	-0.21587	0.10930	0.16167	-0.27080	-0.16817	-0.08197	0.06439	(Ongoing $e0)
p200048	0.38059	-0.16674	-0.06326	-0.32827	0.06368	0.54683	-0.19862	0.61610	0.01739	-0.19887	0.59292	-0.15411	0.53289	-0.44398	-0.61031	-0.11761	0.05902	-0.05921	0.26245	0.06569	0.39254	-0.27272	0.51412	-0.26647	-0.46063	0.60457	-0.08026	-0.02633	-0.12670	0.03146	0.10973	-0.33275	(And (Agent $e0 $x0) (Theme $e0 $x1))
