pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.79110	0.05269	-0.28303	0.21335	-0.16041	-0.10133	0.44771	0.90294	-0.46913	0.68047	-0.44693	0.22257	0.67930	0.59278	0.21657	0.43454	0.24208	0.09153	-0.32804	-0.29836	0.25548	-0.40924	-0.38280	-0.11103	-0.05039	-0.39392	0.24460	0.34399	-0.75052	0.03616	-0.54502	-0.05444	0.44693	0.08924	-0.47307	-0.12276	0.49543	0.47222	-0.22601	-0.26962	0.46480	-0.18108	-0.15135	0.05198	0.20713	-0.03578	-0.08317	0.64526	-1.44810	0.19676	0.58727	0.58250	0.02694	0.03283	0.14292	0.10037	0.10752	-0.49242	0.10674	0.06885	0.44042	-0.07569	0.54413	-0.02977	(Past $e0)
p200009	-0.49736	0.20252	-0.06561	-0.01985	0.42523	-0.22264	0.14771	-0.19894	0.52575	-0.02430	-0.01220	0.05069	0.08890	0.12488	0.11863	-0.08393	-0.03745	-0.23702	0.03740	-0.03018	0.37278	-0.27536	0.23817	-0.42382	0.30463	0.02296	-0.22106	-0.09739	0.02744	-0.10444	0.14745	0.69498	0.34338	0.12054	-0.10548	-0.02962	0.13909	0.11692	1.91170	0.04215	-0.01989	-0.13259	0.17310	0.04293	0.04867	0.06093	-0.02946	-0.19827	0.01987	0.62621	0.07569	-0.00108	0.06891	-0.09918	0.00263	-0.21755	0.17180	-0.30436	-0.09130	0.20158	0.12021	0.19412	0.05884	-0.04509	(Agent $e0 $x0)
p200011	-0.03656	0.12860	-0.06813	1.13664	0.03468	-0.14208	0.02984	-0.00862	-0.18143	-0.08150	0.05447	0.14933	0.01978	0.07692	0.00216	0.05178	-0.08606	0.27845	-0.04144	-0.00207	0.12811	-0.31365	0.02867	0.12289	0.30619	2.01436	0.16323	-0.27712	-0.00482	-0.04955	0.10825	0.01984	-0.11214	0.03076	0.05910	-0.08860	0.04820	0.06478	-0.07801	0.03445	-0.23415	-0.07725	-0.21744	0.08787	0.00317	0.00035	-0.03420	0.10445	-0.27182	-0.00087	0.03714	0.02801	-0.03929	0.19929	0.00020	-0.06115	0.07238	-0.01634	0.03977	-0.13593	-0.15198	0.00132	0.02169	0.01237	(Patient $e0 $x0)
p200012	-0.06863	-0.06692	0.03323	-0.10055	0.21109	-0.08993	0.21682	0.03115	0.10092	-0.01472	0.09023	0.23293	0.13754	0.06443	0.05325	0.15368	0.83958	0.23200	2.09097	0.01224	-0.02505	-0.08998	-0.09677	0.33193	-0.13482	-0.06508	0.13131	-0.31600	0.07202	-0.02684	0.17966	0.10969	0.10838	0.10551	0.15112	0.19051	-0.29073	0.14497	-0.05719	-0.09382	-0.15617	-0.14955	-0.01890	0.02561	-0.11716	-0.11292	-0.08485	-0.05463	-0.45997	-0.04966	-0.18873	0.06561	-0.08495	0.07335	-0.04586	-0.18525	-0.00741	-0.08404	0.18033	-0.16219	-0.05770	-0.06691	0.05640	-0.00488	(Theme $e0 $x0)
p200025	0.10598	0.06959	0.02565	-0.05366	-0.14210	0.04038	0.13858	0.17958	-0.15173	0.10963	-0.08334	-0.14569	0.12123	-0.24464	-0.17292	-0.03415	-0.02587	0.00928	-0.01258	0.02461	0.06490	0.04841	-0.25864	0.29495	0.20723	0.02039	-0.07479	-0.03179	-0.05013	-0.04127	0.23291	-0.00293	-0.02134	0.01136	-0.04668	0.22721	-0.27578	0.02548	-0.13990	0.27821	-0.04204	0.11434	0.14696	0.08474	-0.02387	0.03240	-0.02224	-0.05670	-0.22766	2.02581	0.04568	0.04134	-0.08117	-0.17339	0.00192	-0.12698	0.36538	0.06476	0.02677	0.11135	-0.03515	0.01298	-0.22943	0.02053	(And (Agent $e0 $x0) (Past $e0))
p200030	0.12677	0.13337	-0.06345	1.81100	0.04476	-0.13950	-0.21343	-0.09539	-0.09046	0.00460	0.05821	0.33072	0.14208	0.13244	0.00243	0.02084	-0.09941	0.21333	-0.04184	0.18252	-0.06522	-0.06234	-0.04916	0.21096	0.22210	-0.53504	0.13025	0.14728	-0.08190	-0.03948	0.32178	0.03166	0.06609	0.01670	-0.04474	-0.05960	0.07812	0.01981	-0.01050	-0.08480	-0.19207	-0.04183	-0.02118	0.00747	-0.01408	-0.02093	0.16339	0.08548	0.00196	-0.03289	-0.22340	0.04669	-0.09144	-0.04231	-0.17157	-0.04270	0.11648	-0.10119	-0.03833	-0.18142	-0.16444	-0.09834	-0.09239	0.00821	(And (Past $e0) (Patient $e0 $x0))
p200036	-0.02306	-0.01184	0.00679	-0.07881	0.05316	-0.07764	0.01634	0.00911	-0.00349	-0.12471	0.05141	0.10704	0.12176	0.01736	0.07556	-0.04903	1.91553	0.13667	-0.33712	0.02681	-0.08613	-0.10801	0.03195	0.05519	0.02974	-0.01843	0.08932	-0.06748	0.22043	-0.01606	0.09641	-0.04285	0.05507	0.10736	-0.00954	0.02847	-0.14106	0.11386	-0.04847	0.01034	-0.04173	-0.05213	-0.10660	0.05240	-0.00980	-0.05911	0.01875	-0.23654	-0.07295	-0.03450	-0.04801	0.11364	-0.05348	0.09564	-0.03068	-0.23020	0.09279	0.05921	0.02713	-0.13111	-0.01765	-0.06677	0.02952	0.00285	(And (Past $e0) (Theme $e0 $x0))
p200038	0.05319	-0.03145	-0.02730	-0.00383	0.08673	0.00414	-0.07356	-0.07468	-0.00327	-0.00481	-0.01109	-0.06723	0.01674	-0.01195	0.06931	0.10589	0.01454	0.03836	-0.00607	0.05655	0.08291	-0.01613	0.00222	-0.06431	-0.07821	-0.04022	0.10169	-0.00060	-0.01319	0.02895	0.15128	-0.00580	0.01341	-0.08308	-0.01408	0.04052	-0.02345	0.10818	-0.03135	-0.06894	0.02273	-0.04399	-0.01349	-0.01345	0.01378	-0.02220	-0.04566	-0.02792	0.14258	0.00904	0.03348	-0.00622	0.00231	-0.02589	0.04188	-0.02343	0.06045	-0.02917	-0.06953	0.13956	-0.00620	-0.04515	0.02441	2.24905	(Experiencer $e0 $x0)
p200040	0.07158	-0.03347	-0.10030	-0.03233	0.17094	-0.00743	0.19174	-0.09426	-0.12172	-0.04665	-0.01959	0.14858	-0.04311	-0.03056	-0.00076	0.11716	-0.02609	-0.05938	0.00025	0.13904	0.03257	0.05027	0.02717	0.10966	-0.02702	0.02738	-0.00402	-0.10280	-0.00866	1.92044	0.11470	-0.02132	0.01813	-0.07342	0.05468	-0.04466	0.03254	0.15261	0.00885	-0.15617	0.11803	-0.03325	-0.04053	0.04133	0.03037	0.04363	-0.04560	-0.08735	0.00642	-0.09904	-0.05539	0.02142	-0.01814	-0.03877	0.04148	-0.27944	0.18433	-0.00479	-0.08643	0.18244	0.07203	0.03047	0.03418	0.01067	(Ongoing $e0)
p200048	0.01022	-0.12782	0.04500	-0.01627	0.21832	-0.00876	-0.18975	-0.08683	-0.05910	0.03228	0.27103	-0.05371	-0.10934	0.13769	0.06283	0.10951	-0.09591	-0.05386	0.21106	-0.06048	-0.10948	0.19873	-0.06077	0.07924	-0.18550	-0.01792	0.17712	0.19101	-0.10827	0.01347	-0.20521	1.66622	-0.28805	-0.00543	-0.23019	0.02411	-0.13725	-0.17078	-0.04420	0.01118	-0.04497	0.26948	-0.24791	-0.07357	-0.04676	-0.00832	0.05435	0.22250	-0.20743	-0.07183	-0.08888	0.21720	0.02381	0.33034	0.02836	0.11187	0.10445	-0.06605	-0.05458	0.03961	0.02216	0.05837	0.02790	0.00866	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	0.18868	-0.00104	0.02779	-0.02516	-0.09083	-0.15949	-0.19418	0.03882	0.00648	0.02860	-0.29721	-0.37878	0.18483	-0.02028	-0.03955	-0.01507	-0.06551	0.14324	-0.03670	-0.20663	0.31630	-0.05332	-0.07402	0.04980	0.02530	-0.04978	-0.07007	-0.43729	0.06190	-0.00421	0.04132	0.06978	-0.05831	-0.15864	0.09435	-0.06749	0.01391	-0.22286	-0.02405	-0.09223	0.00517	-0.32150	-0.02463	0.18712	-0.09630	0.00360	1.65262	0.03392	0.04537	-0.03776	0.04476	0.03354	0.02337	-0.02197	1.42858	-0.71253	0.00897	-0.12789	0.62067	-0.09546	-0.04485	0.11333	0.02442	-0.00473	(Member $x0 thing)
