pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.74236	0.01882	-0.04484	-1.08762	0.47937	1.17558	0.02479	-0.03008	0.40937	0.41932	-0.69262	-0.15324	1.04502	-0.10208	0.34972	0.56113	-0.25877	0.57357	0.35821	-0.14696	-0.08558	-0.11984	-0.23327	-0.79642	0.57678	0.62422	-0.20616	-1.15594	0.50927	0.50722	-0.11147	-0.88230	(Past $e0)
p200006	-0.26289	0.03875	-0.00473	-0.08341	0.18994	-0.27934	-0.09297	0.05434	0.55850	0.31457	0.08026	0.17514	0.16918	0.03604	0.01141	-0.19108	0.09253	0.06084	0.13850	0.10950	-0.07416	0.70834	-0.16133	-0.10218	-0.03542	-0.24348	0.96013	-0.39035	-0.00903	-0.12461	1.91353	0.03282	(Agent $e0 $x0)
p200011	-0.05223	0.19847	-0.17985	-0.04244	-0.12626	-0.25166	1.90787	-0.02053	-0.25690	-0.06446	0.30094	0.39729	0.08237	0.22800	-0.17962	-0.06183	0.35135	-0.22429	0.21351	0.14069	0.01306	0.45181	-0.47328	-0.36908	0.01708	0.33520	0.56867	-0.21299	-0.02435	0.18273	-0.16627	-0.06755	(Theme $e0 $x0)
p200017	0.14473	-0.08572	-0.05848	-0.03155	0.13704	-0.14385	0.02173	0.03518	-0.09668	0.22383	0.13229	0.00261	0.05445	-0.05202	0.01899	-0.02190	-0.13467	0.06240	-0.01911	0.00764	2.26909	-0.01161	0.00198	0.05372	0.17190	-0.16076	-0.01447	0.02405	0.11667	-0.10856	-0.07233	-0.02321	(Patient $e0 $x0)
p200022	0.04435	0.21939	0.05022	0.08395	-0.21529	-0.05219	0.12280	0.04130	0.27555	-0.06106	-0.01189	0.34915	0.15450	-0.09772	-0.24221	0.01996	0.13445	0.16455	0.11424	-0.04864	0.09046	0.75259	-0.27483	-0.08469	-0.01201	-0.25893	1.32065	-0.01726	0.04131	-0.14452	-0.48130	-0.00834	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200024	0.15125	0.02527	-0.03779	-0.01691	0.07333	-0.30623	-0.21949	-0.06755	1.71357	-0.23073	-0.00319	-0.12850	-0.26649	0.06500	0.00428	0.25092	-0.17142	0.51150	0.09392	-0.14238	-0.04701	-0.17864	0.00547	0.03129	-0.05911	0.06704	0.00857	-0.36949	-0.01129	0.26686	0.25861	-0.13340	(And (Agent $e0 $x0) (Past $e0))
p200036	-0.24491	0.36011	0.02690	-0.08945	-0.40453	0.86175	-0.13240	-0.07622	0.12427	-0.09897	-0.42911	0.06217	-0.26909	-0.03349	-0.39487	-0.02985	0.19089	-0.22713	0.09965	-0.05029	0.90252	0.08964	0.08942	-0.18473	-0.41552	0.47735	0.02968	-0.30526	-0.01131	0.44737	-0.07160	-0.03273	(And (Past $e0) (Patient $e0 $x0))
p200038	0.10154	0.06874	-0.00780	-0.04507	-0.05176	-0.06622	0.00077	1.87888	-0.10999	-0.12210	0.00125	-0.10428	0.11818	-0.02625	0.13861	-0.03324	0.04740	0.11850	0.00938	0.07728	0.05219	-0.01701	-0.00981	-0.04653	-0.06007	0.01000	-0.02151	0.01599	0.12663	-0.01265	-0.00614	-0.05769	(Ongoing $e0)
p200040	-0.13185	-0.24812	-0.02332	-0.12490	0.23739	-0.04826	1.21943	0.00910	0.18869	0.00720	0.15044	-0.45047	-0.37742	-0.00151	0.29234	0.39030	-0.29018	0.24359	-0.01274	0.19045	-0.03013	-0.13236	-0.03165	0.07268	0.46065	-0.25272	-0.11521	-0.07503	0.11093	0.15568	-0.17555	-0.23821	(And (Past $e0) (Theme $e0 $x0))
p200045	0.16024	0.03761	1.98257	-0.20296	-0.01390	-0.22806	-0.04826	0.00163	-0.04738	-0.10370	-0.10074	-0.03440	-0.09436	0.11455	0.18847	-0.04199	-0.03509	-0.03631	0.34820	0.40894	-0.00898	-0.00935	-0.14362	-0.07579	0.11871	0.15281	0.01152	0.00960	-0.03895	-0.09226	-0.04227	-0.35800	(Experiencer $e0 $x0)
p200049	0.15709	0.07085	-0.02052	-0.15534	-0.12874	-0.02962	-0.01155	-0.03698	-0.13489	-0.33216	-0.15775	0.08787	-0.21838	-0.48187	-0.14635	-0.64745	1.06908	0.30007	0.08276	-0.45342	-0.02735	0.15383	0.90053	0.17275	0.95824	0.13568	-0.11296	-0.10774	0.26380	0.21197	0.17583	-0.17786	(Location $e0 $x0)
p200061	0.13092	0.29629	-0.03881	-0.08035	-0.35466	-0.11262	0.10392	-0.15116	0.01818	-0.43440	-0.08542	-0.35977	0.05469	-0.08021	0.05364	0.34261	-0.07595	-0.17322	-0.04287	0.48783	0.49435	-0.09364	-0.24996	0.16617	0.08115	0.13120	-0.09629	0.11709	-0.14917	-0.05401	0.76505	0.12790	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200075	0.13668	-0.22113	-0.09042	-0.03511	0.10680	-0.15210	0.06217	-0.05876	-0.05929	-0.12763	0.01884	-0.04241	0.11201	-0.01363	0.24356	0.16541	0.09385	0.15364	-0.00480	-0.07872	0.01053	-0.09526	-0.11155	-0.11669	-0.06365	-0.14027	0.00584	0.16906	-0.09637	0.12643	-0.03516	0.05188	(Member $x0 thing)
p200076	-0.01105	-0.08817	-0.01458	-0.00429	-0.04247	0.07041	0.01031	-0.05124	-0.14059	-0.20244	0.09364	1.07006	-0.03100	0.02444	0.84155	0.09805	-0.19334	-0.01679	0.07565	-0.34027	0.04445	-0.32124	0.12161	-0.25686	0.08650	-0.10851	0.02257	0.09121	-0.02458	-0.12653	0.14933	-0.14843	(Theme $e0 $e1)
p200078	-0.25094	0.29440	0.01030	0.37236	-0.05698	-0.02533	0.06091	0.04020	-0.07998	0.28484	0.01897	0.10933	0.15883	0.02687	-0.17335	-0.07988	0.01296	0.27082	0.72730	-0.24080	0.03653	0.13846	0.15910	0.79309	-0.27584	-0.01992	-0.13911	-0.30329	-0.55739	0.07410	-0.03340	-0.22033	(Cardinality $x0 <num>)
p200084	0.04660	-0.12280	0.06997	0.10412	-0.00228	-0.07613	0.23734	0.04459	0.59925	-0.15990	0.20006	-0.19672	-0.25877	0.00553	0.17109	0.11123	-0.27607	0.29699	0.01741	0.01559	0.06867	0.00964	0.07744	0.20242	0.15483	-0.32335	0.23688	-0.00932	0.13035	0.00479	-0.35803	-0.12494	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200093	-0.03067	0.03158	-0.05720	0.01186	-0.08353	0.03157	-0.02751	-0.00675	0.05000	-0.11447	-0.05917	-0.01232	-0.04751	0.03675	-0.00392	0.04856	0.01280	-0.01268	0.04103	0.02838	0.00568	-0.02056	0.14084	0.01270	-0.03807	0.01783	0.00665	0.05966	-0.09341	-0.04622	-0.07984	-0.00755	(LocatedIn $x0 $x1)
p200098	0.24040	0.13757	-0.22870	-0.25511	-0.28572	-0.16858	-0.05077	-0.16375	-0.02827	-0.25496	-0.19513	-0.12024	0.24008	-0.10911	0.11867	-0.34362	0.86699	0.51728	-0.00814	-0.08538	0.01180	-0.12835	0.58560	-0.03826	0.36709	0.20508	-0.00303	-0.38927	0.04862	-0.16499	-0.04462	-0.20141	(And (Location $e0 $x0) (Past $e0))
p200105	-0.20151	-0.05047	0.01812	0.09415	-0.03889	0.16703	0.04900	0.87516	-0.02619	0.20857	-0.00667	-0.05205	-0.11308	0.00941	-0.19690	-0.07822	-0.04988	-0.13396	-0.12627	-0.02193	-0.15705	0.07668	-0.09902	0.04272	-0.01804	0.00700	-0.04451	-0.13167	0.02388	-0.01421	0.39881	0.00543	(And (Agent $e0 $x0) (Ongoing $e0))
p200113	0.27384	0.32282	-0.01942	-0.02582	-0.38730	0.10018	-0.02088	-0.11817	0.24806	-0.34029	-0.17713	-0.07010	-0.21482	-0.09975	-0.12310	0.21845	0.07514	-0.07885	0.04773	0.15739	0.20296	-0.10983	-0.07386	-0.06517	-0.27654	0.25943	-0.04010	-0.06641	-0.07950	0.33260	0.28228	0.04218	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200116	-0.18905	1.00256	-0.04585	-0.10186	0.95732	-0.02200	0.05481	-0.04415	-0.06494	-0.05884	0.09572	-0.00243	0.07267	0.09462	-0.06616	-0.34680	-0.25295	-0.03168	-0.13673	-0.00676	0.03600	-0.00752	0.17156	0.07861	-0.02181	-0.12015	-0.04863	-0.14771	-0.04540	-0.27346	-0.02819	-0.03561	(Goal $e0 $x0)
p200125	-0.18337	-0.10740	-0.03480	0.04274	0.13620	-0.03487	0.04238	-0.02531	-0.14480	0.34754	-0.41988	0.06938	-0.32503	-0.00020	0.05591	0.16859	-0.06724	0.38863	-0.29216	0.29440	-0.06413	0.03099	0.08520	0.16048	-0.22506	0.55035	0.06585	0.04592	0.06173	-0.00525	0.07536	0.18285	(Recipient $e0 $x0)
p200127	0.05363	-0.36272	-0.04787	0.12742	0.25786	0.15468	-0.01635	-0.03480	-0.00666	-0.11037	-0.02916	-0.06289	-0.24005	-0.15894	-0.23525	-0.25477	0.32688	-0.00939	0.17575	-0.21929	-0.08694	0.33336	0.46480	-0.10386	0.34664	0.05890	-0.11173	0.17604	0.01985	0.12857	0.36638	-0.11023	(And (Agent $e0 $x0) (Location $e0 $x1))
p200137	0.63691	-0.26861	0.05815	-0.03865	0.13763	-0.15195	0.04767	-0.06417	-0.09318	0.78885	0.28379	0.13154	0.05208	0.02347	-0.24631	-0.15933	-0.09168	0.08316	-0.06627	-0.04902	0.05457	-0.01431	0.00790	-0.05774	0.08389	-0.19804	-0.05331	-0.29734	0.18815	-0.10361	0.10837	-0.22936	(Future $e0)
p200145	-0.02631	-0.06358	-0.02857	-0.09294	-0.02547	0.16470	-0.10215	-0.00274	-0.02792	-0.06773	-0.00642	0.74306	0.09194	0.10668	0.39779	0.24739	-0.21356	-0.06874	0.01430	-0.20816	-0.07548	-0.12815	0.14851	-0.16253	0.09836	-0.00770	0.02311	0.05946	-0.09053	-0.07760	0.01367	-0.15370	(And (Past $e0) (Theme $e0 $e1))
p200149	0.15644	0.12869	0.62576	-0.13325	-0.16862	-0.13203	-0.08802	-0.02327	-0.08559	-0.09195	-0.12772	-0.07894	0.22940	-0.13999	0.20839	-0.02376	-0.25080	-0.01901	0.41137	0.47795	-0.06544	-0.03636	0.04749	-0.23677	0.12242	0.22313	0.05064	-0.11663	0.19612	-0.27492	-0.03692	-0.34195	(And (Experiencer $e0 $x0) (Past $e0))
p200154	-0.01838	0.11020	0.02364	-0.14058	-0.15608	0.22543	0.07276	0.01193	0.26117	0.09555	0.10368	0.19764	0.15309	-0.04965	-0.14481	-0.17168	0.28318	-0.26755	0.02303	0.35830	-0.03669	-0.11677	0.02493	-0.07437	-0.12796	-0.07701	-0.03565	0.34885	-0.15046	-0.07491	-0.05338	-0.03483	(Possession $x0 $x1)
p200158	-0.06725	-0.04778	0.06977	0.02401	-0.03094	0.05402	0.02145	0.05173	-0.00858	0.05031	-0.06165	0.06421	-0.04301	-0.10330	0.01999	-0.03888	-0.03693	-0.03948	-0.00859	-0.03239	0.01312	0.01901	0.00183	-0.05960	-0.04357	0.02334	0.08253	-0.08219	-0.01581	0.10745	-0.02173	-0.04185	(Source $e0 $x0)
p200168	-0.04286	0.03035	-0.00256	-0.00100	-0.00948	0.01333	0.02673	0.03196	0.02309	-0.03931	-0.01776	-0.03573	-0.04575	0.01129	-0.02957	-0.00889	0.07321	-0.00557	-0.00600	-0.02356	0.00765	0.00141	0.02421	0.04512	-0.02446	0.04172	-0.01079	-0.03730	-0.04785	0.01012	-0.01274	-0.00846	(PartOf $x0 $x1)
p200177	-0.16397	-0.07681	-0.02484	0.04651	0.12800	-0.10595	-0.05004	-0.01762	-0.08677	0.27023	-0.33685	0.09361	-0.28744	-0.01539	0.02796	0.14345	-0.04066	0.36021	-0.24650	0.25589	-0.03212	0.01004	0.07520	0.13429	-0.20575	0.48869	0.12903	0.06799	0.04535	0.01686	0.04002	0.17305	(And (Agent $e0 $x0) (Recipient $e0 $x1))
p200178	-0.14350	0.79889	-0.06084	-0.12174	0.76701	-0.00561	0.03229	-0.02608	-0.01455	-0.05015	0.05676	-0.02396	0.07974	0.09163	-0.06150	-0.24449	-0.20401	-0.02330	-0.11218	0.00596	0.00739	-0.01104	0.13285	0.03204	-0.01103	-0.07221	-0.04672	-0.10191	-0.02410	-0.20786	-0.06071	-0.01570	(And (Goal $e0 $x0) (Past $e0))
p200179	0.14786	0.16662	-0.07173	-0.07489	-0.12744	-0.04258	-0.05555	0.55242	0.01430	-0.10394	-0.11079	-0.15544	0.23921	-0.13245	0.13734	-0.18443	0.08532	0.13886	0.15322	0.18471	-0.05975	-0.06477	-0.05279	-0.08294	-0.06463	0.14125	-0.01449	-0.13216	0.23286	-0.03331	-0.09616	-0.08525	(And (Ongoing $e0) (Past $e0))
p200191	0.01741	-0.34477	0.31300	-0.17510	0.34571	0.10451	0.02059	0.00778	-0.09827	0.02712	0.00517	-0.20479	0.10480	0.58043	0.05374	0.11802	0.56656	0.20694	-0.25174	-0.23425	0.04095	0.11171	-0.18721	-0.00362	-0.26824	-0.10804	-0.04025	0.08448	-0.29252	0.20526	0.04804	0.10509	(Result $e0 $e1)
p200199	0.03853	-0.15472	-0.07964	-0.03650	0.18673	-0.24991	-0.00228	0.46506	-0.02310	-0.12152	0.13900	-0.04134	0.07638	0.06715	0.14699	0.16730	-0.00955	0.15872	-0.03171	-0.11019	0.33919	0.00273	-0.00505	0.00906	0.03377	-0.14832	0.02314	0.23200	-0.07365	0.06798	-0.18156	0.11160	(And (Ongoing $e0) (Patient $e0 $x0))
p200200	-0.07809	-0.03605	-0.00536	-0.21856	0.03067	-0.15268	-0.02101	0.00405	0.05540	-0.08336	0.73319	0.02418	-0.00752	-0.03304	-0.01793	0.07474	0.02473	-0.22306	-0.06626	-0.12265	-0.01574	0.10946	-0.07642	-0.05019	0.04816	0.58577	-0.11458	-0.10495	-0.01512	0.01767	-0.02862	0.05028	(Member $e0 have)
p200204	0.02334	-0.04490	-0.05737	0.09072	-0.03700	-0.21133	-0.03326	-0.00581	0.11287	-0.10924	0.51585	0.07041	0.28693	0.20603	-0.08232	-0.12457	-0.03111	-0.23463	0.02558	-0.11813	-0.00477	0.10137	0.02566	0.10636	-0.08163	0.63313	-0.12660	-0.15517	-0.13020	0.12756	-0.05141	-0.07890	(Holder $e0 $x0)
p200216	-0.02501	-0.00019	-0.02027	0.03411	0.02354	-0.04735	0.07170	-0.06563	-0.02746	-0.08021	0.07102	0.46842	-0.13529	0.10031	0.44600	-0.06710	-0.02182	0.01981	0.02196	-0.17975	0.00937	-0.21642	0.06832	-0.09964	0.01030	-0.06188	-0.02918	-0.01830	-0.02287	-0.12466	0.26817	-0.00537	(And (Agent $e0 $x0) (Theme $e0 $e1))
p200217	-0.07635	-0.03300	-0.00350	-0.21364	0.03124	-0.15486	-0.01449	0.00708	0.05617	-0.07924	0.72344	0.01368	-0.01013	-0.02795	-0.02676	0.06944	0.02613	-0.22110	-0.06452	-0.11589	-0.01295	0.11046	-0.07311	-0.04663	0.04612	0.58079	-0.11485	-0.10533	-0.01650	0.01684	-0.02560	0.05025	(And (Member $e0 have) (Theme $e0 $x0))
p200224	0.01607	-0.07979	-0.10234	-0.11181	0.03278	-0.08741	-0.10742	-0.05311	0.02987	0.14225	0.04285	-0.05238	0.22975	0.08467	-0.05918	0.09018	0.03713	-0.23022	0.21799	0.18042	0.03569	-0.03229	-0.01802	0.02275	0.10174	-0.05119	0.13641	0.16628	0.09916	-0.02973	-0.05183	0.14185	(Might $e0)
p200231	0.00756	-0.04021	-0.04922	0.05733	-0.02822	-0.20147	-0.02714	-0.00013	0.10181	-0.09801	0.53155	0.07571	0.25057	0.16787	-0.07996	-0.10802	-0.02054	-0.22553	0.02796	-0.12221	-0.00249	0.09370	0.00790	0.09940	-0.06922	0.60697	-0.12397	-0.14945	-0.11491	0.12731	-0.04652	-0.06062	(And (Holder $e0 $x0) (Theme $e0 $x1))
p200240	-0.09269	-0.03954	-0.01081	0.13045	0.07568	-0.07126	0.05962	-0.02887	-0.16105	0.11330	-0.31787	0.17416	-0.24403	-0.02700	-0.14054	0.18393	-0.00112	0.44856	-0.22113	0.14526	0.00054	0.10031	-0.16489	0.11687	-0.11355	0.38386	-0.02854	0.15803	0.23741	-0.13340	0.03797	0.01084	(And (Recipient $e0 $x0) (Theme $e0 $x1))
p200242	-0.04190	-0.09015	0.07202	0.01671	0.01101	-0.04717	-0.05152	-0.02759	0.07711	0.09707	-0.01942	0.00272	0.03464	-0.03378	-0.05345	-0.00638	-0.05684	0.01550	0.09272	-0.01703	0.01572	0.00454	-0.04859	-0.02093	0.02336	0.01328	-0.01541	-0.03610	0.02829	0.01363	-0.01643	-0.03889	(GroupOf $x0 person)
p200296	-0.08073	-0.04812	-0.03657	-0.05617	0.01133	0.05370	0.08945	0.07144	-0.11892	0.09760	-0.01858	-0.07462	-0.02138	0.16696	-0.04017	-0.04674	0.13347	0.01932	0.03521	0.00128	0.04314	-0.05901	-0.11521	-0.01420	-0.04729	-0.03770	-0.07627	-0.06781	0.09593	-0.04238	0.15249	0.10832	(Member $e0 make)
p200297	-0.00592	0.00574	0.00395	0.00874	0.04021	-0.00842	0.12344	-0.00226	-0.05202	0.00062	-0.01434	-0.00609	-0.01104	0.00260	0.00611	-0.02682	0.01402	-0.01423	-0.00234	0.03676	0.04101	-0.02914	-0.01024	-0.03449	-0.01496	-0.03027	-0.03851	0.01624	-0.01352	-0.00430	0.02476	-0.01418	(Obligated $e0)
p200305	0.01471	-0.01620	-0.01974	0.11968	-0.05102	-0.00464	0.11582	0.00786	-0.06491	0.03967	0.03343	0.20779	0.26194	0.01944	-0.21522	-0.14615	-0.07601	0.25520	0.43318	-0.10879	0.01496	-0.02716	0.10175	0.59642	-0.26091	0.03719	-0.01769	-0.13421	-0.32433	0.13789	0.00883	-0.15532	(And (Cardinality $x0 <num>) (Theme $e0 $x0))
p200306	0.20651	0.23584	-0.00182	-0.05707	-0.17459	-0.10166	0.01018	0.28249	-0.06729	-0.16135	-0.07369	-0.09966	0.05779	-0.06694	0.10275	-0.17955	0.19944	0.11203	0.08386	0.15125	-0.00666	-0.04911	0.22343	0.00670	0.12350	0.11666	-0.00465	-0.13774	0.12931	-0.19200	0.00607	-0.14453	(And (Location $e0 $x0) (Ongoing $e0))
p200319	-0.08950	-0.02271	-0.01091	0.12162	0.07048	-0.11386	-0.04336	-0.02636	-0.12163	0.07489	-0.25576	0.19687	-0.20270	-0.04454	-0.14440	0.16929	0.01406	0.43509	-0.19178	0.10095	0.01323	0.07770	-0.18184	0.08373	-0.09782	0.35501	0.03311	0.17625	0.22935	-0.10821	0.00600	-0.00123	(And (Agent $e0 $x0) (Recipient $e0 $x1) (Theme $e0 $x2))
p200338	-0.05253	-0.02906	-0.00314	-0.17269	0.01943	-0.12706	-0.07943	0.00758	0.07229	-0.06965	0.62936	0.01783	0.01725	-0.01327	-0.02675	0.03959	0.01691	-0.17896	-0.05573	-0.10840	-0.00970	0.10715	-0.05177	-0.02679	0.02391	0.50123	-0.07837	-0.09160	-0.01465	0.00983	-0.03332	0.04186	(And (Holder $e0 $x0) (Member $e0 have) (Theme $e0 $x1))
p200341	0.03562	-0.26621	0.34388	-0.12498	0.28550	0.04018	0.01129	-0.03573	-0.04931	-0.00987	0.03082	-0.14500	0.04366	0.47661	0.05375	0.07570	0.45405	0.16431	-0.19446	-0.18836	0.10118	0.09620	-0.11627	0.00946	-0.22281	-0.09169	-0.01628	0.10055	-0.26086	0.15265	0.01676	0.08207	(And (Experiencer $e0 $x0) (Result $e1 $e0))
p200342	-0.05253	-0.02906	-0.00314	-0.17269	0.01943	-0.12706	-0.07943	0.00758	0.07229	-0.06965	0.62936	0.01783	0.01725	-0.01327	-0.02675	0.03959	0.01691	-0.17896	-0.05573	-0.10840	-0.00970	0.10715	-0.05177	-0.02679	0.02391	0.50123	-0.07837	-0.09160	-0.01465	0.00983	-0.03332	0.04186	(And (Holder $e0 $x0) (Member $e0 have))
p200343	-0.07979	-0.16105	0.19147	-0.08292	0.11905	0.23590	0.00734	-0.01157	-0.05817	0.08831	-0.07781	-0.09741	0.00203	0.34597	-0.08030	0.03938	0.30756	0.02488	-0.13362	-0.09706	-0.02574	0.09386	-0.06552	-0.01007	-0.14602	0.01405	-0.02868	-0.05638	-0.15272	0.06567	0.04807	0.00029	(And (Past $e0) (Result $e0 $e1))
p200345	0.05749	-0.01069	-0.02859	-0.11380	0.02302	-0.03897	-0.03128	0.07469	0.02786	0.14598	-0.00423	0.12233	-0.08840	0.33418	-0.18173	0.29342	-0.17110	-0.06521	0.00844	-0.00293	0.08037	0.03839	0.33206	-0.03508	0.18159	-0.00063	0.00274	0.00942	-0.09158	-0.18367	-0.12016	-0.09809	(Member $e0 start)
