pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.09182	0.06209	0.02314	0.61647	-0.20351	0.45038	-0.38423	-0.23711	-0.00605	0.11067	0.29527	-0.36574	-0.10498	-0.36400	-0.28011	0.12485	0.80531	0.31622	-0.05497	0.13689	0.44716	0.03820	0.12695	-0.06318	1.07433	-0.10481	0.70437	0.00324	-0.16541	-0.22293	0.46129	0.09933	(Past $e0)
p200006	-0.09676	0.95557	0.00108	0.49789	-0.09408	-0.77241	0.43148	-0.12049	0.44911	-0.01436	0.24465	-0.00698	0.54572	0.07132	-0.28779	0.19265	0.31333	0.10501	-0.07511	0.21321	0.15851	-0.08587	-0.15253	-0.01837	-0.07053	0.04101	-0.23551	0.06888	0.75953	-0.12136	-0.15975	0.27207	(Agent $e0 $x0)
p200011	0.21065	-0.03685	1.16310	-0.08186	0.44999	0.22477	0.02687	0.08964	0.34961	-0.14628	-0.15189	-0.14178	0.85569	-0.08502	-0.12265	-0.01622	0.02753	-0.13098	-0.02894	-0.14754	0.35048	-0.35314	-0.25445	0.58909	-0.07031	-0.11693	-0.04395	0.04392	-0.13109	0.02547	0.25692	-0.23950	(Theme $e0 $x0)
p200017	0.09694	-0.07614	0.11564	0.13069	-0.16662	0.01567	-0.03781	0.91694	0.02875	0.39737	0.15139	0.18693	-0.08611	0.06574	-0.00620	-0.21951	0.13984	-0.04231	-0.31086	-0.36884	-0.31457	-0.12983	-0.08590	-0.08213	-0.01766	1.20222	-0.10799	0.10193	0.17785	-0.18229	0.62585	0.12550	(Patient $e0 $x0)
p200022	-0.09000	-0.06700	0.48649	0.64638	0.24207	-0.11312	0.30470	0.18644	-0.17636	0.09604	0.03295	-0.08193	0.69451	0.07942	0.17349	0.36574	0.19890	-0.15457	-0.13720	0.17571	-0.32566	-0.07068	-0.16931	0.15935	-0.00232	0.15917	-0.12160	0.04417	-0.28015	0.10095	-0.50045	-0.14822	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200024	-0.19765	0.46347	-0.31402	0.12505	0.01877	0.01407	-0.18686	0.03556	-0.10720	0.02978	0.19905	-0.00337	0.02964	-0.24777	0.38449	0.04352	0.16047	0.94994	0.24725	-0.28431	0.42747	0.01098	-0.09707	0.16348	0.17830	0.26437	-0.34905	-0.18300	0.06655	0.00419	-0.62514	0.50576	(And (Agent $e0 $x0) (Past $e0))
p200036	-0.04938	-0.27998	-0.10514	0.02299	0.03791	0.31513	0.00288	0.74489	0.11322	0.00670	0.06092	-0.09882	0.00831	-0.39954	-0.10846	-0.03919	0.30140	-0.06105	-0.25409	-0.19855	-0.58996	-0.24563	-0.16659	0.22715	0.33924	0.11470	0.31263	0.00323	0.45804	-0.16868	-0.13865	0.12806	(And (Past $e0) (Patient $e0 $x0))
p200038	0.92897	0.64125	0.42011	-0.08464	0.02616	-0.27205	0.07658	0.00364	0.07383	0.22801	-0.07296	-0.16366	-0.20211	0.10694	0.47744	-0.41047	-0.43107	-0.03133	-0.15497	0.18987	-0.34093	0.16741	0.03704	-0.33682	0.60891	-0.00125	0.26399	-0.09990	-0.13381	-0.11471	-0.04391	-0.02673	(Ongoing $e0)
p200040	-0.20400	0.02462	0.68123	-0.31470	0.34822	0.13237	0.02241	-0.11230	-0.22224	-0.35886	-0.19369	0.14511	0.07184	0.16725	0.14124	-0.19008	0.02851	0.39403	-0.00433	-0.36715	0.61015	-0.19239	0.15185	0.02964	0.19364	0.14291	0.07413	-0.22525	-0.21218	-0.00623	0.28487	0.30013	(And (Past $e0) (Theme $e0 $x0))
p200045	0.15242	0.08533	0.13087	0.02231	0.09896	0.23462	-0.16276	-0.01661	0.03386	-0.28438	0.16970	0.17887	0.04505	0.02069	-0.25080	-0.39301	0.12403	0.56770	-0.23978	0.28523	-0.24864	-0.27944	1.14539	-0.25481	-0.20541	0.03054	-0.13374	0.89414	-0.17731	-0.09425	-0.31292	-0.32989	(Experiencer $e0 $x0)
p200049	0.06579	-0.04815	0.18298	-0.07485	-0.28310	0.18642	-0.13551	-0.29525	0.55905	-0.29155	-0.71371	-0.06098	0.04176	0.16018	0.00767	0.29448	0.03312	0.04038	0.30684	-0.22191	-0.08793	0.39963	-0.10483	-0.31751	-0.01599	0.44821	0.46476	0.50960	0.30848	0.57319	-0.14500	0.26375	(Location $e0 $x0)
p200061	-0.02306	0.25138	0.08257	-0.36334	-0.12759	-0.22594	-0.02270	0.14002	0.46971	-0.31384	0.43159	-0.05912	-0.20643	0.20134	-0.31874	-0.29869	0.26148	0.18007	-0.20930	-0.14247	-0.07055	-0.11135	0.03611	0.17390	-0.18326	0.26349	-0.07957	-0.31337	0.04118	0.22311	0.15220	0.14797	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200075	-0.06375	0.09127	0.03156	-0.11739	0.05127	-0.13880	-0.15365	0.03872	-0.05516	0.15186	0.18800	-0.16773	0.05859	0.04435	-0.04636	0.27533	-0.15234	0.31119	0.20854	-0.06714	0.10212	0.18626	-0.09728	-0.08196	-0.18942	0.10219	0.10228	-0.08017	-0.26072	-0.05074	0.15687	-0.27753	(Member $x0 thing)
p200076	-0.08488	0.09252	0.05922	0.01482	-0.21801	0.17185	0.12378	-0.05440	0.47928	0.46529	0.11156	-0.06074	-0.06743	-0.11230	0.08237	0.51041	-0.23131	-0.14470	0.09858	0.02071	0.22515	-0.26162	0.63815	-0.09416	-0.13163	0.08298	0.03475	-0.32220	0.10020	-0.11535	0.14695	-0.24943	(Theme $e0 $e1)
p200078	-0.20774	0.37753	-0.07557	-0.03518	0.05742	0.14445	0.28494	0.46943	0.18641	-0.28770	-0.14745	-0.04354	-0.28654	0.00577	0.24442	0.24539	0.15995	-0.26056	-0.10955	0.06459	0.07116	0.45133	-0.05168	0.40293	0.04748	-0.26438	-0.19429	0.46202	-0.25114	-0.24730	0.06371	-0.00075	(Cardinality $x0 <num>)
p200084	-0.16330	0.01666	0.22329	0.17775	0.24685	0.06796	0.13252	0.02699	-0.32740	-0.12688	-0.06978	0.14154	0.02953	0.05889	0.29583	-0.00369	-0.05834	0.32529	0.00056	-0.26999	0.17221	0.00176	0.18114	0.05497	0.08710	0.24931	-0.11451	-0.17218	-0.13477	0.00062	-0.22555	0.21610	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200093	0.06104	-0.04020	-0.04048	-0.08300	0.07276	0.03844	0.07267	0.07670	-0.05653	-0.09027	-0.09637	-0.12258	-0.02552	-0.14734	-0.00013	0.22944	0.04206	0.12558	0.04912	-0.02051	-0.13327	0.06808	-0.01129	-0.04277	0.02877	0.08304	-0.12967	-0.10934	-0.08182	-0.04891	-0.08815	-0.02620	(LocatedIn $x0 $x1)
p200098	-0.07792	0.09655	0.00698	0.01760	-0.30644	0.19377	-0.31520	-0.07785	0.28152	-0.07329	-0.38677	-0.29354	0.19878	-0.08267	-0.14364	0.17410	-0.07157	-0.00557	0.13363	-0.06839	0.05140	0.62112	-0.10132	-0.18610	0.07125	0.41204	0.15206	0.15600	-0.04368	0.50415	-0.12984	-0.02579	(And (Location $e0 $x0) (Past $e0))
