pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	0.25630	0.10990	0.59426	-0.57461	-0.17302	-0.10793	-0.19134	0.45167	0.68631	0.08335	1.15186	-0.64002	-0.04448	0.19641	-0.54437	0.02197	0.56837	0.32438	0.70467	0.16656	1.33726	-0.36554	0.27188	-0.19923	-0.09220	-1.48294	0.43911	0.01226	-0.17899	-0.50208	-0.05540	-0.24639	(Past $e0)
p200006	0.03778	-0.07783	0.34358	-0.13059	0.63100	0.41767	-0.06188	0.21885	0.01129	0.06597	-0.09522	-0.12727	-0.05772	0.05797	-0.34919	0.52680	0.51685	-0.02017	-0.04043	0.08176	-0.34906	-0.06566	0.16761	-0.10952	-0.01148	-0.48293	0.00730	-0.05440	-0.01486	0.12611	-0.13654	2.02273	(Agent $e0 $x0)
p200011	0.15128	-0.17343	-0.09250	0.11112	0.71051	-0.04606	0.07097	0.08812	0.26683	-0.04247	0.03011	0.29214	1.99426	0.12674	-0.48637	0.32361	-0.25576	-0.12345	0.00480	0.04871	-0.04375	0.08786	-0.06369	0.05958	0.19524	-0.02237	-0.05603	-0.04434	-0.16145	0.09705	-0.03400	-0.03655	(Theme $e0 $x0)
p200017	0.02748	0.05791	-0.02983	0.07872	-0.04605	0.05292	0.01572	0.07177	0.02210	0.00035	-0.12561	-0.04401	0.03084	0.01397	0.13501	0.11218	-0.06452	-0.05988	0.10077	-0.00781	-0.03093	-0.02799	0.03387	-0.06558	-0.05357	-0.02375	0.01748	-0.09014	-0.03383	-0.09149	2.26521	-0.02242	(Patient $e0 $x0)
p200022	-0.08429	0.01288	-0.32029	-0.13780	1.06500	-0.18348	-0.20636	0.39565	-0.18212	0.08860	-0.07376	-0.09078	0.23226	0.06324	-0.41042	1.09218	0.44157	-0.06594	0.07523	-0.05115	-0.21620	0.27386	0.05646	0.22812	-0.05055	-0.01195	-0.19086	-0.03431	0.13057	-0.04851	0.01839	-0.13490	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200024	-0.00301	-0.06929	1.28049	0.06702	0.04950	-0.02342	0.00714	-0.24458	0.10520	0.07194	-0.18910	-0.08664	-0.19111	-0.01672	0.05700	-0.27483	1.25303	-0.00230	-0.03485	-0.20615	-0.29972	0.07226	-0.07312	0.17241	0.01839	-0.59872	-0.25960	-0.06379	-0.02824	0.15147	-0.03324	0.10339	(And (Agent $e0 $x0) (Past $e0))
p200036	0.14952	-0.19618	-0.02833	-0.40568	0.03772	-0.26902	-0.28658	0.04611	0.14259	-0.19498	1.14908	-0.03256	-0.01400	0.02001	-0.19456	-0.05655	0.02117	0.11285	-0.02241	0.16118	-0.58264	-0.05067	-0.13681	0.16403	0.19509	-0.34160	0.11330	0.05751	0.21269	0.18679	0.76512	-0.15283	(And (Past $e0) (Patient $e0 $x0))
p200038	0.13515	1.36821	0.04337	-0.26734	-0.02859	0.12185	0.07050	-0.00652	-0.00617	-0.05400	-0.08819	0.00586	0.00079	-0.05283	0.10078	0.08473	-0.07378	-0.19749	-0.14715	0.36743	0.07303	-0.11674	-0.23021	-0.52644	1.24137	0.07428	-0.06982	-0.07870	0.18564	-0.54177	0.07282	0.07788	(Ongoing $e0)
p200040	-0.18330	0.00874	0.58977	0.14667	-0.21392	-0.08241	-0.08792	-0.31435	-0.43906	0.19923	-0.25845	0.16312	1.08378	-0.12349	0.07406	-0.00631	0.07797	0.03753	-0.02739	0.05405	0.65312	-0.06112	0.02759	0.12397	-0.04387	-0.28069	0.13596	-0.01243	-0.06740	-0.03724	0.08669	-0.23485	(And (Past $e0) (Theme $e0 $x0))
p200045	0.10383	0.00513	-0.12571	0.00950	-0.06034	-0.18125	0.13245	-0.03461	-0.01940	0.01504	-0.14971	0.00066	0.00385	0.31909	0.19358	0.19725	0.15889	0.10247	-0.00394	0.10257	-0.01004	-0.03811	-0.13716	-0.17400	0.00778	-0.00519	0.01102	2.00594	-0.14880	-0.17475	-0.00591	-0.00322	(Experiencer $e0 $x0)
p200049	-0.02906	0.05353	0.07565	-0.10992	-0.11523	-0.00433	0.23085	-0.45965	0.24040	-0.36700	0.01692	-0.10015	0.03052	0.03016	0.11204	0.11415	-0.07114	-0.60157	-0.06521	-0.09553	0.02817	1.20590	0.02079	0.09590	-0.11062	0.08607	1.22509	-0.00352	0.35877	-0.23826	-0.01114	0.13901	(Location $e0 $x0)
p200061	0.17942	-0.18819	0.03043	0.08210	-0.02313	-0.42449	-0.07735	-0.38265	-0.15055	-0.20235	-0.07456	0.17448	0.01584	0.46935	0.05797	-0.36509	0.11326	0.15545	-0.04366	0.00301	0.23736	0.02477	-0.36357	0.33162	0.16597	0.06790	-0.20587	-0.00795	-0.25528	0.44751	0.49813	0.67500	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200075	-0.15921	-0.07130	0.07226	-0.06872	0.11105	0.08746	0.16377	0.12707	0.03729	-0.12405	-0.12952	-0.12338	0.05976	-0.03381	0.21431	-0.15877	-0.02672	-0.06878	-0.04044	-0.06277	0.12086	-0.01763	0.02162	0.15884	0.02421	0.07344	-0.05967	-0.09167	-0.09624	-0.06418	0.00951	-0.06189	(Member $x0 thing)
p200076	-0.04208	-0.08514	-0.00344	-0.07381	-0.02664	-0.25078	1.22723	0.49663	-0.14540	0.14552	0.05637	0.06110	0.03730	-0.07683	-0.04369	-0.12692	-0.11416	-0.05746	0.39422	0.11372	-0.11174	-0.08352	0.02712	-0.16514	-0.09868	-0.01799	0.08331	-0.03683	-0.04711	-0.13333	0.01453	0.12398	(Theme $e0 $e1)
p200078	0.28292	0.01915	0.08045	-0.10296	-0.11065	-0.14284	-0.08621	0.17344	0.33035	-0.33939	0.01885	-0.13677	0.08673	-0.31282	0.17305	0.22229	-0.22134	0.61647	-0.16110	-0.06017	-0.04065	0.15032	-0.07464	-0.21299	-0.17857	-0.04180	-0.29129	0.07449	1.05971	0.26680	-0.02961	0.09634	(Cardinality $x0 <num>)
p200084	-0.12968	0.08717	0.49813	0.14544	0.01268	-0.18892	-0.01460	-0.02253	-0.37209	0.24432	-0.20701	0.13817	0.21493	-0.16476	0.09446	0.31860	0.43038	0.04099	-0.14587	-0.00712	0.01332	0.07600	-0.03855	0.07652	-0.09976	-0.13688	-0.04374	0.03055	0.01273	-0.06889	0.11113	-0.31882	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200093	-0.05832	-0.09654	-0.03121	-0.05171	0.02258	-0.06896	0.02140	-0.09576	-0.03983	0.03337	0.06220	-0.00783	-0.04532	-0.04005	-0.01485	-0.01417	0.05895	0.04159	-0.08468	-0.04571	0.00333	0.07393	-0.03423	0.03913	0.11279	0.04971	-0.02586	-0.03639	0.14026	0.00150	-0.01434	-0.06839	(LocatedIn $x0 $x1)
p200098	0.00522	-0.19981	-0.14417	0.00793	0.04812	-0.03801	0.28299	-0.28159	0.57072	-0.28574	-0.15903	-0.33261	-0.15215	-0.08397	0.12179	0.07455	0.24526	-0.28685	-0.22265	0.03700	0.33550	0.91228	-0.14161	0.24184	0.09290	-0.28747	0.42848	-0.16306	0.07628	-0.19198	0.02002	-0.06347	(And (Location $e0 $x0) (Past $e0))
