pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.55359	-0.54727	0.31666	-0.43506	0.15322	0.12849	0.24317	0.47783	0.96468	0.72779	0.48128	-0.92414	-0.62801	0.08043	-0.11671	-0.44118	-0.15623	-0.40896	0.15140	0.75968	0.32414	-0.15701	0.00758	-0.33081	0.05469	-0.10216	-0.00029	-0.06937	-0.09425	-0.17809	0.51950	0.33325	-0.19101	-0.04543	-0.08320	-0.67147	-0.80466	0.25709	0.08224	-0.00155	0.40195	-0.03667	-0.15268	0.44457	-0.04927	0.42569	-0.16438	-0.55345	0.28012	0.19527	0.24141	-0.17547	0.14431	-0.60602	-0.11717	0.28650	0.66674	0.37395	0.13047	-0.33732	0.49514	0.56473	0.07440	0.19411	(Past $e0)
p200006	-0.82871	0.27341	-0.13093	-0.21773	0.65638	0.02792	0.12116	0.28804	-0.14759	-0.13174	-0.02054	-0.05483	-0.12515	-0.42250	0.45510	0.08455	-0.06065	0.09087	-0.06331	-0.17018	0.14765	-0.23433	0.03457	0.76794	0.02506	-0.11521	0.01087	-0.16441	-0.29032	1.26455	0.21362	0.01346	-0.02776	0.12549	0.22337	-0.04975	-0.10387	-0.19391	-0.06131	-0.04151	0.05201	0.00850	0.27698	0.32313	-0.01923	0.15022	0.09493	-0.25517	0.47264	0.24728	-0.03222	1.16296	-0.25785	0.01708	0.59675	0.38046	-0.10311	0.09270	-0.10520	-0.25106	-0.04819	-0.13685	0.26970	0.20711	(Agent $e0 $x0)
p200011	0.02106	-0.07504	0.05816	0.10812	-0.07129	-0.04491	-0.01229	0.09925	0.12474	-0.15414	-0.02435	-0.13720	0.14681	0.00336	0.27278	0.27877	-0.03422	0.36403	0.12290	0.00754	0.22272	0.06752	-0.00114	-0.02857	0.05703	-0.00904	0.02074	-0.01202	0.06898	-0.09197	0.10029	0.09506	0.09538	-0.07404	0.07006	0.11362	0.02554	-0.02374	-0.09127	2.34957	0.05741	-0.00958	0.20410	-0.07078	0.00742	0.17176	-0.05784	-0.20447	-0.09962	-0.09871	-0.10279	0.00721	0.04882	-0.00988	0.29788	-0.07110	-0.09859	-0.09374	-0.05478	0.10737	-0.01346	-0.11880	-0.04856	0.07022	(Theme $e0 $x0)
p200017	-0.07483	0.01290	-0.11871	-0.10688	-0.08159	0.08264	0.05534	-0.09490	-0.11789	0.07249	0.01484	0.12088	-0.04735	-0.14025	0.02489	-0.04261	-0.13024	0.01534	0.06278	-0.25383	0.06456	0.14292	-0.00403	-0.05468	0.05912	-0.00675	-0.07481	-0.07585	-0.02085	0.05123	0.03566	0.13769	0.10356	0.05112	0.07286	-0.00929	0.11232	0.06912	-0.04377	0.00593	-0.05838	2.35440	0.08775	0.06567	-0.00012	0.05667	-0.18997	0.03426	0.02407	-0.03351	0.03876	-0.06722	-0.02123	0.04870	-0.01783	0.05548	0.21841	0.16930	-0.00364	0.01778	-0.14936	-0.09564	0.04358	0.00071	(Patient $e0 $x0)
p200022	-0.05464	0.06399	0.11054	-0.01986	-0.11702	-0.06048	0.12189	0.22577	-0.05526	-0.06675	0.07273	-0.06173	-0.13666	0.00340	0.91343	0.06980	0.11080	-0.09167	0.12710	-0.03785	-0.05849	0.04632	-0.02392	0.19345	0.03893	-0.02125	-0.00292	-0.06651	-0.12250	-0.26247	0.05436	0.01564	0.04579	-0.14314	0.08589	-0.08144	-0.06154	-0.12890	-0.15374	0.10360	-0.05937	0.01020	-0.08539	0.13040	0.02965	-0.09271	0.14899	-0.05496	-0.06527	-0.12556	0.01359	0.02846	0.00562	0.05312	1.53994	0.07404	-0.07980	-0.21460	0.14978	-0.10911	0.17851	-0.05624	-0.02616	-0.04370	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200024	0.02888	-0.02996	0.05484	-0.04959	2.05814	0.07235	0.02004	0.00777	-0.08917	-0.03146	-0.01410	-0.03154	-0.01757	-0.05858	-0.03573	-0.03122	-0.03422	0.04918	-0.04577	-0.05368	-0.01285	0.03476	-0.04798	-0.08475	-0.02290	-0.00135	-0.02422	-0.01160	0.12746	-0.10233	0.08401	0.02676	-0.02271	0.05242	-0.06995	-0.05490	0.02206	0.03606	-0.04521	-0.00080	0.03953	-0.00634	0.09038	0.04092	-0.00317	0.09849	0.03331	0.02454	-0.09170	-0.02545	-0.03894	-0.10568	-0.06823	0.10433	-0.02425	0.09523	0.01520	-0.04529	-0.02964	-0.04198	0.04674	-0.03282	0.05793	-0.12452	(And (Agent $e0 $x0) (Past $e0))
p200036	-0.01455	0.19667	0.20902	0.05183	0.04516	-0.18368	-0.25028	0.04453	0.09747	-0.27916	-0.41016	-0.49500	-0.22887	0.13905	-0.12241	0.16544	0.31972	-0.02945	-0.17022	1.48946	-0.03486	-0.24487	-0.07300	0.04771	0.05828	0.26697	0.12161	0.12592	-0.02063	-0.05245	-0.14776	-0.08392	-0.22339	-0.09256	0.14400	0.09217	-0.25644	-0.14956	-0.24010	0.02053	-0.06122	0.70637	-0.03866	-0.09337	0.01684	-0.06463	0.20979	0.19095	-0.05396	-0.05673	0.06858	-0.01396	0.00395	-0.08971	0.12598	-0.23522	-0.37863	-0.35504	-0.27426	0.05976	0.62002	0.14480	-0.00630	0.04793	(And (Past $e0) (Patient $e0 $x0))
p200038	0.11346	-0.08379	0.00207	0.00963	-0.02039	0.07014	0.07181	-0.04591	0.00196	-0.03543	-0.04566	0.10970	0.01999	0.12433	-0.02561	0.00378	0.06535	-0.02959	0.15394	0.06406	-0.08731	0.11947	1.86256	-0.10027	-0.09956	-0.13795	-0.00651	0.02586	0.04039	-0.01376	-0.06736	0.06942	-0.01752	0.09712	-0.04243	0.09500	-0.02754	-0.02605	0.10740	0.03033	0.15827	0.00420	-0.01050	0.06616	0.00486	-0.00341	0.08937	0.05206	0.09938	-0.04826	-0.10990	0.02804	-0.04095	-0.13342	0.01528	-0.06192	0.01719	0.03673	0.08350	-0.04234	-0.03280	-0.08260	0.06356	-0.06330	(Ongoing $e0)
p200040	-0.04201	-0.08053	-0.15386	0.19531	0.11265	0.03409	-0.19743	-0.31860	-0.20428	1.45784	0.11227	-0.04742	-0.05232	0.00655	-0.12151	-0.17849	0.02909	-0.20512	-0.21657	-0.23928	-0.10174	0.05481	-0.01180	0.10258	0.06482	-0.19914	0.10217	0.18399	-0.09027	-0.04185	-0.34846	0.04854	0.09520	0.10057	-0.02952	-0.10710	-0.13440	0.05361	0.29356	0.61786	-0.18185	0.03749	-0.19896	0.03134	-0.03280	-0.29978	0.14168	0.12933	0.19224	0.02234	0.49321	-0.03256	-0.14810	0.05221	-0.04126	-0.14529	-0.13158	-0.04555	0.18451	0.04710	0.08423	0.48453	0.16804	-0.12246	(And (Past $e0) (Theme $e0 $x0))
p200045	0.06314	-0.03656	0.02507	-0.03809	0.00768	0.02018	0.01461	-0.04234	-0.01316	-0.00074	-0.02947	0.01090	0.00752	0.00788	-0.02768	-0.00080	-0.00763	-0.01454	-0.03785	0.00640	-0.00801	0.06267	0.00861	-0.00226	0.03972	-0.06495	0.02843	0.06172	-0.00406	0.02464	-0.00862	0.01479	-0.02388	0.07807	-0.04977	0.02677	-0.01706	0.04295	0.03587	0.00153	0.01668	-0.00499	-0.02607	0.01048	2.17939	0.03855	0.00486	0.02919	0.03798	-0.02004	-0.04515	-0.02611	0.01516	-0.03750	0.02840	0.01689	0.00990	0.04828	0.06045	0.05222	-0.07434	-0.01846	-0.01310	-0.01803	(Experiencer $e0 $x0)
p200049	0.14856	-0.26978	0.17689	-0.34152	-0.17631	0.59187	-0.32045	0.35916	-0.22147	0.05254	0.04040	0.08335	0.00307	0.03668	-0.29610	-0.22896	0.03551	-0.13228	-0.21133	-0.06902	0.02997	0.21659	0.02748	0.22009	-0.02863	0.27244	1.15320	0.04143	0.84027	0.00667	-0.09202	-0.49169	-0.11848	0.09985	0.22771	-0.08592	-0.14954	-0.01902	0.14907	-0.01251	-0.06983	0.00951	0.00162	0.18961	0.03103	0.39235	-0.32105	-0.00146	-0.03285	0.10352	0.05626	0.19097	-0.14977	0.22137	0.12421	-0.10045	0.11063	-0.22793	-0.15342	0.21037	0.10195	0.16518	0.04332	-0.57003	(Location $e0 $x0)
p200061	-0.13846	0.13128	-0.19005	-0.19469	0.00141	0.03072	-0.18961	-0.12295	-0.05694	0.19827	-0.19321	-0.01496	0.00059	0.03931	-0.09427	0.20490	0.02032	-0.06910	-0.05440	0.01938	0.04514	-0.07774	-0.02796	0.47744	0.01274	-0.07715	-0.02532	-0.21922	0.05150	-0.25226	-0.12241	-0.03654	-0.00003	0.02294	0.04491	0.01597	0.01855	0.09967	0.16512	0.00979	-0.23838	0.13123	1.08830	-0.10425	0.01177	0.13198	-0.14170	0.22751	1.11963	0.08520	-0.07116	-0.05722	-0.05041	-0.04117	-0.15142	0.02112	0.10905	-0.00421	0.07558	-0.37572	-0.05769	-0.38250	-0.08466	0.01984	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200075	-0.13846	-0.31854	-0.41534	0.37295	-0.01583	-0.40641	0.92888	-0.03151	-0.12462	0.00638	-0.16395	0.01371	-0.14434	-0.19368	0.05307	0.10986	1.15561	-0.11074	-0.03375	0.00036	0.18707	-0.00615	-0.05903	0.23036	-0.04341	0.47175	-0.25322	-0.63689	0.41947	-0.25718	0.11876	0.04121	-0.60727	0.75967	-0.03066	-0.55339	0.22792	0.87269	0.25461	-0.02198	-0.15366	-0.04547	-0.06602	0.24474	-0.01212	-0.34280	-0.78212	-0.25030	-0.03495	0.42978	-0.25974	-0.03141	-0.57400	-0.22411	0.04845	-0.22152	-0.19030	-0.28440	-0.24264	0.66367	0.02642	-0.03248	0.30383	0.57572	(Member $x0 thing)
p200076	-0.09891	0.03060	-0.16356	0.42734	-0.07987	0.09151	-0.01254	-0.22844	-0.11308	-0.11748	0.31677	-0.03683	-0.04944	0.01071	0.11911	-0.31909	-0.13659	-0.21288	0.75638	0.05006	-0.20375	0.04247	0.01484	-0.06041	-0.26698	0.39727	0.05650	0.53308	0.08757	0.13935	-0.05320	-0.18105	0.06908	0.20785	0.16008	-0.15496	-0.21145	0.06153	-0.12650	0.03027	0.37029	-0.01923	0.65433	-0.07870	0.06299	-0.38077	0.24987	-0.16858	-0.34340	0.47826	0.01731	0.02616	-0.21954	-0.26993	-0.05655	0.06539	0.02774	-0.11451	0.00621	-0.05845	-0.15909	0.28267	0.19696	-0.13037	(Theme $e0 $e1)
p200078	-0.24806	-0.18443	-0.42862	0.03677	-0.02246	0.26358	0.90992	0.32417	0.05672	0.04149	0.00507	-0.12446	-0.07208	-0.14295	-0.01827	-0.01270	-0.12469	-0.07849	-0.22025	0.18084	0.35601	0.49816	-0.00289	0.26841	0.29711	-0.06181	-0.10072	0.07598	-0.10098	-0.14871	-0.00832	-0.24537	0.12627	0.06405	0.56858	-0.11695	-0.18258	-0.40008	0.12423	-0.07318	-0.15987	-0.02744	-0.15178	-0.31943	0.03057	-0.00575	0.61166	0.88747	-0.07394	-0.09720	0.05651	0.07929	-0.06033	0.02759	-0.10628	-0.13168	-0.36121	-0.09978	0.13135	-0.01003	-0.08897	0.29000	-0.01301	-0.18708	(Cardinality $x0 <num>)
p200084	0.06542	-0.06478	0.00284	0.13135	0.39706	-0.09154	-0.12012	-0.14871	-0.36310	0.71238	0.03372	-0.00099	0.04823	-0.00010	0.10474	-0.19672	-0.02953	-0.34261	-0.10772	-0.07956	-0.14596	-0.02896	0.02216	0.01316	-0.08706	-0.02516	0.03945	0.18290	-0.01197	-0.13249	-0.22666	0.04206	0.10653	-0.08645	0.07194	-0.06673	0.12535	0.05935	0.10010	-0.16772	-0.10345	0.07303	-0.15222	0.04759	0.04214	-0.15128	0.13993	0.09916	-0.13189	0.05414	0.26129	-0.19863	-0.04358	0.05253	0.64763	-0.10924	-0.14479	-0.02233	0.03193	0.12769	0.07049	0.17472	0.01818	0.02385	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200093	-0.35850	0.77890	0.72258	0.20317	0.02889	0.06421	0.36232	-0.24150	-0.03920	0.06838	0.06143	-0.56869	-0.14813	-0.63721	-0.21060	-0.04663	-0.31143	0.07388	0.15415	0.01678	0.18387	0.64271	0.06887	0.25743	0.71717	0.74702	-0.03756	-0.01222	-0.20157	-0.07118	-0.09986	-0.20539	-0.36766	-0.39977	-0.70994	0.19471	0.13473	0.51210	1.06734	-0.02066	-0.37538	-0.00545	0.16073	0.25542	-0.01430	-0.18887	0.45482	-0.31136	-0.25814	-0.42941	-0.59962	-0.11280	0.49527	0.33002	0.03274	0.49419	-0.24852	-0.08999	-0.52222	-0.02297	0.05814	0.10315	-0.40247	-0.33633	(LocatedIn $x0 $x1)
p200098	0.08136	-0.17806	-0.31876	-0.32047	-0.00380	0.60061	-0.00817	0.48272	0.12384	-0.09989	0.08496	-0.15122	0.11942	0.23147	-0.12823	-0.10994	-0.20347	-0.10063	-0.07734	-0.09642	-0.14878	0.49972	-0.07945	-0.15167	-0.04549	0.14969	0.55013	-0.08577	0.52844	-0.04375	0.07142	-0.20828	-0.15190	-0.02774	-0.30840	0.03360	-0.12497	0.45362	-0.04704	0.02160	0.01860	0.01981	0.22874	0.28102	-0.09200	0.45839	-0.20503	-0.03367	-0.07820	-0.07851	0.04717	-0.15810	-0.02573	0.16192	0.17046	-0.13066	0.08068	-0.17760	-0.02415	0.06287	-0.09054	-0.17893	0.04863	-0.43154	(And (Location $e0 $x0) (Past $e0))
p200105	-0.22868	0.07498	0.00453	-0.08643	-0.04556	-0.19111	-0.04593	0.03548	-0.05740	-0.01877	-0.05240	-0.07795	-0.04357	-0.18532	-0.00885	-0.00581	-0.04766	0.11067	-0.29332	-0.02758	0.21101	-0.16694	0.96325	0.12365	0.11646	0.10891	-0.03909	-0.09791	-0.01597	0.27732	0.18377	-0.04524	-0.01093	-0.14753	0.10138	-0.18012	-0.00337	0.00336	-0.22811	-0.03112	-0.29785	-0.05074	0.13095	-0.01099	0.04256	0.04686	-0.22582	-0.06168	-0.12511	-0.07796	0.20869	-0.03234	0.04672	0.14317	-0.01061	-0.02945	0.01648	0.03553	-0.08341	0.15776	-0.00287	0.15217	-0.10717	0.14809	(And (Agent $e0 $x0) (Ongoing $e0))
p200113	0.07717	0.22725	-0.00793	-0.04174	0.37641	-0.05932	-0.11256	-0.16091	0.08833	-0.16628	-0.21761	-0.13580	0.00714	0.16884	-0.11075	0.21843	0.17772	0.02833	0.01146	0.49183	-0.01244	0.01749	-0.05135	0.14155	-0.17160	0.00347	0.07888	-0.15566	0.05173	-0.25813	-0.33945	-0.07566	0.00438	0.03769	0.00855	0.04493	-0.10501	-0.02371	-0.03393	0.11891	-0.09047	-0.05856	0.54753	-0.18947	0.03261	0.00090	0.03949	0.20167	0.52289	-0.01090	-0.06420	0.00371	-0.07357	0.09938	-0.13405	-0.01638	-0.01784	-0.21745	-0.05337	-0.18688	0.21998	-0.09853	-0.08212	-0.07658	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
