pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.37972	0.10054	-0.25293	0.85060	0.84451	1.36629	0.15549	-0.41836	0.96977	0.04521	0.05191	0.04516	-0.88617	0.18569	-0.22298	0.37731	-0.59795	-0.02665	0.04266	-0.00668	-0.05480	-0.28943	-0.51217	0.09287	0.03467	0.40691	-0.02655	0.46219	0.13593	-0.86158	0.51807	1.03053	(Past $e0)
p200009	-0.00527	-0.05478	0.07472	0.01335	0.04149	-0.05867	0.00695	0.42340	-0.09312	-0.10679	0.04208	0.03478	0.00816	-0.00670	0.07399	0.02139	-0.10105	-0.01299	-0.04152	-0.01180	0.03844	0.36707	0.01857	2.39740	-0.04352	0.01459	0.10532	0.01199	-0.00071	-0.09210	0.15642	0.02882	(Agent $e0 $x0)
p200011	-0.00976	0.07978	-0.37122	0.08700	-0.03695	-0.02511	0.01362	-0.20026	-0.10310	0.01218	2.45210	-0.03756	0.03916	0.13721	-0.04050	0.00679	0.11047	-0.00449	-0.04973	-0.03248	-0.00700	0.04226	0.09836	-0.00084	-0.01503	-0.10786	0.04341	-0.07314	0.03885	0.05154	-0.02190	-0.05100	(Patient $e0 $x0)
p200012	0.10063	0.04976	-0.16035	0.09746	0.02758	-0.15763	0.00096	0.04817	0.00714	-0.01461	-0.01561	-0.01200	-0.08227	0.04817	-0.02644	-0.07027	0.30102	0.00043	-0.03877	0.19278	2.44620	-0.16388	0.14127	0.03023	-0.11424	-0.25146	-0.01778	0.13427	0.04550	-0.12841	-0.08257	0.11034	(Theme $e0 $x0)
p200021	0.09934	0.01662	-0.04912	-0.09397	0.01045	-0.14765	-0.08333	-0.01841	-0.08768	-0.11817	0.00622	0.08218	-0.05697	-0.11750	0.04207	0.04449	0.15044	0.01613	0.00120	0.02811	0.01618	-0.20115	0.16120	0.23741	0.02644	-0.09319	0.01418	-0.14079	-0.02707	0.16746	2.10493	0.01665	(And (Agent $e0 $x0) (Past $e0))
p200027	-0.01902	0.12105	0.27994	-0.22366	-0.28836	-0.64881	-0.07446	0.05773	1.63769	-0.12798	0.48609	0.35098	0.06819	-0.43199	-0.09050	0.11578	-0.24468	-0.00750	0.12132	-0.10841	0.17200	0.02749	-0.51643	-0.04085	0.07119	0.52944	-0.05332	0.03362	0.02535	-0.41354	-0.02973	-0.14316	(And (Past $e0) (Patient $e0 $x0))
p200029	-0.01956	0.20362	0.02738	-0.13308	-0.03498	-0.03765	0.15813	-0.03364	0.04129	1.92593	0.00363	0.06198	0.04837	-0.03951	0.13503	0.09128	-0.14328	0.01910	-0.15470	-0.08048	0.04865	-0.03248	0.16355	-0.01188	0.05739	-0.10888	0.07645	0.00693	-0.07598	0.20335	0.02173	0.16081	(Ongoing $e0)
p200036	-0.05038	0.04888	-0.10379	-0.05426	-0.01210	0.00569	0.02238	0.01137	0.00214	0.01789	-0.00689	0.08922	0.12970	-0.00233	-0.01925	0.03856	0.00270	2.19371	0.01604	-0.00303	0.00263	0.03154	-0.04852	-0.06002	0.15041	-0.05054	0.01174	0.04336	-0.01680	0.05121	0.02552	-0.04962	(Experiencer $e0 $x0)
p200040	0.08665	0.09723	0.00229	-0.49821	-0.31409	1.36501	0.00369	0.08757	-0.49151	-0.01856	0.13550	0.32749	0.31580	-0.39102	0.08752	0.17359	-0.65959	-0.03969	-0.13660	-0.40543	0.55974	0.16453	-0.27556	-0.16615	0.25057	0.81844	0.01070	-0.21843	-0.00112	0.06497	0.20224	-0.53658	(And (Past $e0) (Theme $e0 $x0))
p200048	0.96644	0.17511	-0.26682	-0.13420	0.26283	0.07846	0.01838	0.05404	-0.01053	0.02517	-0.00590	0.05178	-0.09746	-0.06547	-0.55927	0.02506	-0.05694	-0.03449	0.63715	-0.43028	-0.05401	0.32168	-0.08483	0.01291	0.87785	-0.13664	0.45205	-0.86158	0.65887	0.20250	-0.21466	0.26581	(Location $e0 $x0)
