pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	0.72269	0.02230	0.01494	0.01640	-0.23512	0.52044	-0.13534	-0.15302	-0.26443	-0.08449	0.45264	0.34799	0.08944	-0.14528	0.33278	0.19237	0.56401	0.00340	0.15998	-0.02713	0.23755	0.55392	0.13628	0.67991	-0.19583	-0.00117	0.31782	1.09265	-0.09434	-0.13490	0.53193	-0.20070	(Past $e0)
p200009	-0.10822	-0.07385	0.01053	0.17918	0.42845	0.69737	0.05155	-0.23001	-0.24870	0.73981	-0.29364	0.03792	0.66960	0.44477	0.00716	-0.11832	-0.16891	0.11661	0.07065	-0.15400	0.15038	-0.01936	-0.31853	-0.21882	0.45769	0.32173	-0.21942	0.30763	-0.30014	-0.12062	0.21432	0.90679	(Agent $e0 $x0)
p200011	-0.27065	0.16372	0.56650	0.92998	0.06982	-0.23182	-0.03503	-0.08121	0.29884	0.03452	-0.64004	0.92472	0.24540	-0.36827	-0.16954	0.14539	0.12308	-0.14691	0.05573	-0.14195	-0.01273	0.01436	0.61763	-0.12642	-0.08221	0.07045	-0.15665	0.07544	-0.18627	0.42278	0.21834	-0.23502	(Patient $e0 $x0)
p200012	-0.26575	0.32068	0.00810	-0.40992	-0.04086	0.02375	-0.07166	0.06023	0.12332	0.19010	-0.02995	0.16706	-0.17536	0.17981	-0.14349	0.01210	0.40582	1.44768	0.45866	-0.25801	-0.14385	0.06533	-0.13107	-0.19498	-0.23782	0.72657	-0.05571	0.05301	0.38520	0.35886	0.01924	-0.12378	(Theme $e0 $x0)
p200021	-0.73058	0.01272	0.11699	0.02307	-0.46161	-0.02834	-0.26613	-0.15534	-0.19373	0.53551	0.12155	0.17534	0.30999	0.26318	0.80771	0.07796	0.02407	-0.27507	-0.23820	-0.00404	-0.09452	0.19259	-0.20137	0.61282	0.55478	0.44808	0.29041	-0.16472	-0.23131	0.00783	-0.06768	-0.03937	(And (Agent $e0 $x0) (Past $e0))
p200027	0.40869	-0.14272	0.28797	0.35679	-0.14443	-0.49416	-0.08092	-0.06654	0.40814	-0.18116	-0.52805	-0.16362	-0.16679	0.17170	-0.13772	-0.29111	0.91077	-0.12451	-0.14006	-0.11156	-0.17664	-0.11523	0.02458	0.13711	0.35348	0.37887	-0.18417	0.33216	-0.20823	-0.11050	0.04087	0.05453	(And (Past $e0) (Patient $e0 $x0))
p200029	0.12568	0.55997	-0.10934	-0.30064	0.61916	-0.02649	0.27508	-0.12837	-0.00210	0.02694	-0.26644	-0.11878	0.17142	-0.04584	0.10836	0.15428	-0.08871	0.04752	-0.73490	0.15701	-0.01802	-0.07123	0.15433	0.83733	-0.20853	0.00394	-0.53562	-0.06139	0.31778	0.44858	0.12888	-0.05795	(Ongoing $e0)
p200036	-0.05431	-0.24213	-0.02983	-0.41900	-0.32870	-0.49820	-0.06694	0.60700	-0.47569	-0.20176	-0.18189	-0.17477	0.49185	0.85361	0.04569	0.01168	-0.12531	-0.00751	0.05854	0.26738	-0.10105	0.03693	0.97625	-0.14070	-0.11152	-0.05391	-0.18065	0.00237	0.04783	-0.07566	0.60526	-0.20353	(Experiencer $e0 $x0)
p200040	-0.27737	-0.21201	-0.19144	0.05537	0.04349	-0.12383	-0.03970	-0.02768	-0.55536	-0.20300	-0.26746	-0.26253	-0.24031	-0.26914	0.29035	-0.42281	-0.10873	0.15909	0.21893	0.05677	-0.06512	0.53344	-0.10620	-0.00590	-0.15457	0.08218	0.45313	0.36147	0.17330	1.01380	-0.03563	-0.03877	(And (Past $e0) (Theme $e0 $x0))
p200048	0.53814	0.32247	0.43111	-0.25079	-0.00452	0.07727	-0.08211	0.10854	-0.06026	0.04231	-0.45115	0.15152	-0.15039	0.11656	0.17159	0.26325	-0.37518	-0.07236	0.28723	0.79863	-0.43278	0.20838	-0.11481	-0.09985	0.01559	-0.01686	0.09258	0.11483	-0.14758	-0.00314	-0.47896	0.09807	(Location $e0 $x0)
p200050	0.19333	-0.23583	0.02842	0.24600	0.02347	0.50085	0.12714	-0.15431	0.20375	0.37641	-0.57158	-0.43090	-0.51372	0.55102	0.02370	0.11572	-0.00590	0.27702	0.26997	-0.19981	0.37923	0.25830	-0.05003	0.04926	0.02621	0.01195	-0.14843	-0.47184	-0.13362	0.03029	0.30182	-0.28487	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200059	0.08479	0.63553	0.18844	-0.30664	-0.15631	-0.19853	1.23448	0.44401	-0.21609	-0.26250	-0.12255	0.05587	0.19047	-0.01888	-0.04102	-0.46953	0.24968	-0.17643	0.17729	0.05433	0.93648	-0.16233	-0.36523	-0.15270	0.31027	0.11242	0.32368	-0.19743	-0.55474	0.12961	0.03727	-0.22635	(Member $x0 thing)
p200072	0.05700	-0.18273	-0.23527	0.12218	-0.03419	0.37294	0.94690	-0.01300	-0.17894	-0.22228	0.05123	0.22457	-0.04140	0.33266	-0.04342	0.25337	0.26830	-0.14329	-0.09922	-0.27017	-0.59400	-0.00050	0.17588	-0.02361	-0.18355	0.06666	0.08355	-0.10273	0.14549	0.07416	-0.29096	0.19089	(Theme $e0 $e1)
