pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-1.46487	-0.05324	0.26214	-0.11890	-0.12626	1.22762	-0.10741	-0.34216	1.22580	0.22627	0.29720	-0.01033	0.61095	0.26111	0.99605	-0.02319	0.12276	0.01123	0.30331	0.94704	0.25661	0.03884	0.45529	-0.18698	-0.27273	0.10876	0.21910	0.38822	-0.25467	-0.63168	-0.05641	-0.26536	(Past $e0)
p200009	0.03694	-0.09483	0.05495	0.00689	0.06732	-0.04316	0.16320	0.10088	-0.03027	-0.08263	0.04889	-0.02991	-0.04485	-0.03669	-0.10908	-0.11561	-0.00895	0.12371	0.01715	-0.00688	0.13027	-0.00755	0.08706	0.24950	-0.06316	2.40523	-0.02568	0.07714	0.04119	0.00487	-0.00116	0.04537	(Agent $e0 $x0)
p200011	0.16902	0.01327	0.00198	0.03144	0.04980	-0.11268	0.10314	-0.25215	0.00550	0.21824	-0.01458	0.00446	-0.04670	-0.11615	0.03099	-0.01047	-0.09707	0.14397	0.02197	-0.01743	0.03345	-0.00215	0.10666	-0.12337	-0.09042	0.00903	-0.02759	-0.00249	-0.02317	0.02274	2.40456	0.03523	(Patient $e0 $x0)
p200012	0.16987	-0.09122	0.04273	-0.02755	0.01563	0.04974	-0.00713	-0.15043	-0.31577	-0.00973	0.15029	-0.00003	0.13850	0.02726	0.02703	0.00316	-0.09539	0.17109	-0.09503	-0.03571	0.04730	2.41991	0.03918	0.25126	-0.03340	0.00187	-0.02401	-0.01454	-0.05136	-0.03268	-0.03425	-0.04318	(Theme $e0 $x0)
p200021	-0.17970	-0.19398	0.06563	0.03173	-0.09058	-0.29605	-0.20251	0.09349	-0.03465	-0.12294	0.00262	0.02914	-0.04968	-0.07658	0.12952	-0.06574	-0.05344	0.21089	-0.17462	0.02782	-0.01941	-0.05751	0.02870	0.15889	0.11927	0.25925	-0.10238	2.06671	-0.04268	0.05744	0.08291	0.04016	(And (Agent $e0 $x0) (Past $e0))
p200027	-0.51058	-0.03949	0.00658	0.06222	-0.21528	1.43706	-0.03251	0.45717	-0.46665	-0.46706	-0.22047	-0.10201	0.07805	0.11305	-0.16747	-0.09039	0.37448	-0.22942	-0.12509	-0.05822	-0.05191	0.08597	-0.66733	0.20157	0.28041	0.01224	-0.14252	-0.06084	0.13662	-0.05556	0.63576	0.02226	(And (Past $e0) (Patient $e0 $x0))
p200029	0.06033	-0.04861	0.11401	0.15919	0.14149	-0.02035	-0.20831	-0.09923	0.07623	0.03545	0.11407	0.01938	-0.05617	0.12358	-0.03589	1.94736	-0.06163	-0.10390	-0.09796	-0.03306	0.09110	-0.00570	0.01677	0.15250	0.11808	-0.00737	0.00889	0.00709	0.04285	0.01459	0.03097	-0.02788	(Ongoing $e0)
p200036	0.07093	0.04291	0.07095	0.08857	0.02997	0.04896	0.02458	0.01846	-0.00025	0.05081	-0.09014	2.19825	-0.09243	-0.05604	-0.04203	0.02476	0.06696	-0.08997	0.03069	-0.01192	0.03993	0.00072	0.02821	-0.04862	0.07822	-0.06063	-0.02323	0.04193	0.02752	0.06273	-0.01257	0.00301	(Experiencer $e0 $x0)
p200040	-0.34170	0.18271	-0.09473	0.02109	0.07520	-0.41989	0.09743	0.28372	1.56067	-0.06999	-0.56127	-0.01583	-0.42434	0.26304	-0.46672	-0.08433	0.40228	-0.34122	0.23907	-0.11269	-0.07753	0.54772	-0.32147	-0.16359	0.00614	-0.12110	-0.14964	0.17037	0.04858	0.22781	0.17165	-0.02593	(And (Past $e0) (Theme $e0 $x0))
p200048	-0.11945	1.55451	0.08864	0.13564	0.02452	-0.10584	-0.27967	0.11773	0.04786	-0.17383	-0.10073	0.01879	-0.18264	-0.11679	0.31248	-0.02661	0.04418	0.05483	-0.23161	0.19508	0.05841	-0.02296	0.03886	0.61618	0.06456	0.01883	-0.23975	-0.12331	0.01840	0.12338	0.02897	0.17675	(Location $e0 $x0)
p200050	0.13855	-0.31096	0.07606	0.03269	-0.07087	0.20149	1.47401	0.08449	-0.10724	-0.21091	0.01618	0.01942	-0.02982	0.14309	-0.10439	-0.03318	0.02142	-0.21997	-0.34923	-0.15680	0.02036	0.18585	0.08484	1.00681	0.03670	0.22046	-0.08041	-0.16274	-0.18267	-0.16996	-0.05281	0.10826	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200059	-0.17660	-0.19924	-0.06989	-0.28124	-0.16419	-0.02492	-0.24452	0.12231	0.02590	-0.43899	-0.07134	0.06720	-0.31020	-0.10286	0.19651	0.04351	-0.08600	-0.52430	0.10839	0.05945	-0.09295	0.00087	-0.33855	0.22089	-0.21499	0.02928	1.59562	0.02574	-0.10681	0.29233	0.03937	1.61778	(Member $x0 thing)
p200072	-0.07205	0.02430	-0.08874	-0.07901	1.46699	-0.11389	0.01662	-0.03039	-0.11102	-0.19117	-0.01808	0.06431	0.11038	0.61780	0.29411	-0.01468	-0.02987	-0.31521	0.14431	-0.07029	-0.10933	0.00943	-0.30402	-0.00652	0.04370	0.09721	0.20806	-0.03983	0.04354	-0.10531	0.06438	-0.14879	(Theme $e0 $e1)
p200079	0.05918	0.07448	-0.03987	0.05094	0.02817	0.23555	-0.16039	-0.28810	-0.05690	0.25628	-0.20715	-0.03626	-0.20558	-0.00629	-0.18743	-0.06264	0.13787	-0.20372	0.18315	-0.10349	-0.05792	0.07955	0.23405	-0.07005	-0.06783	0.13408	-0.22588	0.16061	1.49347	0.19994	0.03469	0.25185	(And (Agent $e0 $x0) (Patient $e0 $x1))
