pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	w32	w33	w34	w35	w36	w37	w38	w39	w40	w41	w42	w43	w44	w45	w46	w47	w48	w49	w50	w51	w52	w53	w54	w55	w56	w57	w58	w59	w60	w61	w62	w63	query
p200004	-0.06614	-0.12624	0.02566	-0.38720	-0.23560	0.74417	-0.12813	-0.22712	0.36912	-0.16158	0.13391	0.40148	-0.13135	0.03076	-0.05405	0.11773	0.05507	-0.26478	0.22952	-0.05440	0.27795	0.02190	-0.14905	-0.12950	-0.06227	-0.04820	-0.15041	0.35628	0.42528	-1.00751	0.59246	-0.72568	0.65073	0.14536	0.08049	0.16242	0.83145	-0.77475	0.52330	0.00995	-0.26607	0.07872	-0.13168	0.16789	-0.86058	0.39733	-0.69841	0.76376	-0.08076	-0.19567	0.20608	-0.05077	-0.25766	-0.17197	0.04105	0.76971	0.36535	0.37704	0.24513	0.47564	0.05596	0.71333	0.41695	0.16199	(Past $e0)
p200009	-0.00162	0.59007	0.05655	0.05647	0.10378	0.02272	0.53866	-0.11281	-0.01860	-0.04044	0.10551	-0.07761	-0.13363	0.08231	-0.09277	0.30673	0.03236	0.05633	-0.05112	-0.09299	-0.14283	-0.12660	0.15231	0.06835	-0.01179	2.17144	-0.08447	0.28167	-0.02215	0.00313	0.08045	-0.08981	0.02151	0.03716	-0.02605	0.12338	-0.03738	-0.13217	-0.04359	-0.00857	-0.08879	0.05361	-0.04199	-0.01931	-0.15102	-0.02156	-0.14133	-0.20162	0.29645	0.00488	-0.07900	0.51266	0.18545	0.00488	-0.01391	-0.02910	-0.09604	-0.00374	0.10770	0.06776	0.11185	0.01241	0.07857	-0.15083	(Agent $e0 $x0)
p200011	0.01617	-0.04581	0.04407	0.00924	0.04673	-0.06064	0.03196	-0.15474	-0.01744	-0.01370	0.04285	0.01543	0.08306	0.03341	-0.03934	0.04382	-0.05658	0.02997	-0.00631	-0.02820	0.00069	-0.00215	-0.13478	0.01932	-0.02344	-0.05374	-0.06084	-0.02398	-0.07666	0.02903	0.05353	0.02664	0.03665	-0.02970	0.05139	0.10763	-0.04668	0.01365	0.01695	2.47198	0.00378	0.18389	0.06473	-0.05238	-0.05743	-0.03349	0.06344	-0.00087	-0.01614	0.03209	0.06910	0.08094	0.04353	-0.07070	0.01759	0.01836	-0.09243	0.13113	0.03869	-0.06494	0.02762	-0.03031	0.03693	-0.00805	(Patient $e0 $x0)
p200012	0.00935	0.00308	0.15516	-0.22576	-0.10502	-0.02378	0.30231	-0.19539	0.49568	-0.02317	0.07556	-0.00090	-0.07512	-0.00142	-0.04081	0.16501	0.48244	0.05578	-1.24535	-0.17796	0.40792	0.02597	-0.21018	-0.14406	-0.04563	-0.06920	0.00973	-0.06209	-0.02992	-0.15929	-0.13257	-0.24271	0.22448	0.04455	0.09495	0.17998	-0.16952	0.23915	-0.03494	-0.02876	-0.12411	0.12981	1.44675	-0.00441	-0.03410	0.10115	0.13197	-0.05469	0.08704	-0.02837	0.02929	0.05743	-0.51676	1.45800	-0.01136	-0.00793	0.08963	-0.07428	0.31379	-0.10381	0.31691	-0.09128	0.04268	0.26009	(Theme $e0 $x0)
p200021	0.03139	0.04322	-0.04374	0.13892	-0.02833	-0.09087	-0.08119	0.00895	-0.03774	-0.07729	0.15898	0.02011	-0.11395	-0.01276	-0.04217	0.03495	0.05412	0.07470	-0.03618	-0.07257	-0.17734	-0.12716	0.02660	0.07868	-0.00385	0.03793	0.03423	2.12363	0.14286	-0.03371	-0.02204	-0.02330	0.08377	0.01171	-0.07416	-0.00950	-0.10999	0.13593	-0.02131	0.00510	-0.10280	0.14728	-0.03905	-0.05058	0.10208	-0.09596	0.14396	0.07944	-0.18396	0.01316	0.06209	-0.00418	-0.08368	-0.02760	0.01065	-0.05151	0.08381	-0.03605	0.03426	0.02770	0.19585	-0.16569	0.00575	0.06832	(And (Agent $e0 $x0) (Past $e0))
p200027	0.02973	-0.02348	-0.03301	0.08610	-0.03516	-0.09567	0.01585	0.01996	-0.02380	-0.05984	-0.08262	-0.16139	-0.04719	0.05580	-0.00482	0.00621	0.09340	0.08939	-0.04093	-0.07025	0.03669	0.04061	0.01581	0.02445	-0.00848	-0.05730	-0.02238	-0.03775	0.07343	0.00847	0.01949	-0.18179	-0.08301	-0.04760	0.02100	-0.02695	-0.11057	-0.02204	-0.00229	0.11231	0.00729	0.10007	-0.02772	-0.09201	-0.03729	-0.06300	-0.05631	-0.10225	0.05937	0.08137	0.03471	0.08731	0.00805	0.01268	-0.03301	-0.10561	0.12727	2.11424	-0.03760	0.07857	0.02467	-0.02189	-0.02451	-0.04048	(And (Past $e0) (Patient $e0 $x0))
p200029	0.01811	0.14371	0.11977	-0.00858	0.22852	-0.04377	-0.05677	-0.17799	-0.01165	-0.01422	-0.01405	-0.20800	-0.16719	0.13161	2.03260	-0.15149	-0.06866	-0.12877	-0.07378	0.06756	-0.01276	0.04969	0.16905	-0.02170	-0.01392	-0.03702	-0.00485	0.01603	-0.19714	0.05233	0.29674	0.08861	-0.03438	0.04515	-0.00238	0.23353	-0.03065	-0.16249	0.06063	-0.04005	0.09194	-0.00555	-0.01094	-0.17319	-0.03821	0.04072	0.01184	0.00651	0.07927	-0.04722	0.08259	-0.13009	0.11760	0.04942	0.00949	0.07544	-0.00296	0.00312	0.18023	-0.02726	0.23950	-0.01137	-0.01401	0.01904	(Ongoing $e0)
p200036	2.24935	0.04362	-0.02651	0.00130	-0.04825	-0.03853	-0.02481	-0.01412	0.03569	0.00746	0.01064	0.00824	-0.03306	0.01085	-0.00377	0.05231	0.06819	0.01716	0.04075	0.00841	0.04635	0.01498	0.03236	0.06144	-0.00616	-0.01161	0.00551	-0.00501	0.02607	0.01369	-0.06433	0.00884	0.00590	-0.04359	0.06244	0.04525	0.08359	0.05842	0.03800	-0.01659	0.02635	-0.04673	-0.02562	-0.00491	0.12854	-0.01319	-0.08172	-0.14083	-0.02819	0.01978	0.04349	-0.02814	-0.00599	-0.02075	0.03562	0.00385	-0.00074	0.01546	-0.00193	-0.00017	0.04863	0.03940	-0.02030	0.02657	(Experiencer $e0 $x0)
p200040	0.01262	0.11581	-0.00353	-0.05608	0.01584	-0.02109	0.03877	0.00748	1.94522	-0.01891	0.00825	-0.03249	-0.00089	0.00641	0.00113	0.08026	-0.03855	-0.05364	-0.02404	-0.02592	0.04139	0.00341	0.04382	0.03577	-0.01067	-0.05632	0.01229	0.02255	0.05491	0.17469	0.08917	0.09436	-0.11500	-0.05841	-0.02840	-0.02207	-0.03770	0.09231	-0.03832	0.00088	-0.00628	-0.01405	0.05401	0.00623	-0.05988	0.00385	-0.02721	0.01012	-0.14032	0.06611	0.00861	-0.08569	0.04947	-0.17113	-0.00293	-0.17715	-0.01174	-0.02921	0.01912	0.00787	-0.09275	-0.03992	0.11940	-0.03543	(And (Past $e0) (Theme $e0 $x0))
p200048	0.01524	0.15685	0.04440	0.03457	0.16969	-0.02830	-0.01437	-0.04681	-0.02078	1.82468	0.11052	-0.15469	-0.04594	0.08184	-0.00062	-0.11081	0.14641	-0.02513	0.08480	-0.00950	0.00170	-0.02738	0.07501	0.20508	-0.01472	-0.00107	-0.12306	-0.02344	0.06448	-0.03514	0.02843	-0.14690	0.19612	-0.07442	0.08960	0.02473	-0.09612	-0.03833	0.05259	0.00146	-0.04422	0.13364	-0.01302	-0.10563	-0.03606	-0.04365	-0.05269	0.09069	-0.04741	0.07297	0.05408	-0.11498	-0.12762	-0.04387	0.00699	-0.05912	-0.02094	-0.09355	0.01878	0.06422	0.15723	0.05365	0.01078	0.03068	(Location $e0 $x0)
