(: ghardaia_name (Name ghardaia "Ghardaia") (STV 1.0 0.99))
(: uc_genus (Inheritance underground_channel channel) (STV 1.0 0.99))
(: uc_mod (Inheritance underground_channel underground) (STV 1.0 0.99))
(: moz_group (GroupOf sk_group_1 mozabite) (STV 1.0 0.99))
(: build_ev (Member sk_build_1 build) (STV 1.0 0.99))
(: build_ag (Agent sk_build_1 sk_group_1) (STV 1.0 0.99))
(: build_tense (Past sk_build_1) (STV 1.0 0.99))
(: build_loc (Location sk_build_1 ghardaia) (STV 1.0 0.99))
(: build_pat (Patient sk_build_1 sk_network_1) (STV 1.0 0.99))
(: network_type (Member sk_network_1 network) (STV 1.0 0.99))
(: network_wells (GroupOf sk_network_1 well) (STV 1.0 0.99))
(: channel_group (GroupOf sk_channel_group_1 underground_channel) (STV 1.0 0.99))
(: connect_ev (Member sk_connect_1 connect) (STV 1.0 0.99))
(: connect_ag (Agent sk_connect_1 sk_channel_group_1) (STV 1.0 0.99))
(: connect_pat (Patient sk_connect_1 sk_network_1) (STV 1.0 0.99))
