(: c65_admirers_group (GroupOf sk_admirers_1 admirer) (STV 1.0 0.99))
(: c65_manuel_name (Name manuel_machado "Manuel Machado") (STV 1.0 0.99))
(: c65_manuel_member (Member manuel_machado admirer) (STV 1.0 0.99))
(: c65_manuel_partof (PartOf manuel_machado sk_admirers_1) (STV 1.0 0.99))
(: c65_antonio_name (Name antonio_benavente "Antonio Benavente") (STV 1.0 0.99))
(: c65_antonio_member (Member antonio_benavente admirer) (STV 1.0 0.99))
(: c65_antonio_partof (PartOf antonio_benavente sk_admirers_1) (STV 1.0 0.99))
(: c65_jacinto_name (Name jacinto_benavente "Jacinto Benavente") (STV 1.0 0.99))
(: c65_jacinto_member (Member jacinto_benavente admirer) (STV 1.0 0.99))
(: c65_jacinto_partof (PartOf jacinto_benavente sk_admirers_1) (STV 1.0 0.99))
(: c65_brothers (Brother antonio_benavente jacinto_benavente) (STV 1.0 0.99))
(: c65_brothers_sym (Symmetric Brother) (STV 1.0 0.99))
